,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,schnea,schnea,sing,3,default,0.0002700132608879,plural,definite,Las,s,[MASK] schnea,"[CLS] , [MASK] , s , ##ch , ##nea , [SEP]",morphemic,8.21703948577221,4.117244653359977,-4.117244653360105
3,3,schnea,schneas,plur,4,default,0.001336230081506,plural,definite,Las,s,[MASK] schneas,"[CLS] , [MASK] , s , ##ch , ##nea , ##s , [SEP]",morphemic,6.617903001999113,-3.6525200967000346,3.6525200966999796
5,5,schnea,schnea##s,plur,4,artificial,0.001336230081506,plural,definite,Las,s,[MASK] schnea##s,"[CLS] , [MASK] , s , ##ch , ##nea , ##s , [SEP]",morphemic,6.617903001999113,-3.6525200967000346,3.6525200966999796
7,7,schnea,schnea,sing,3,default,5.834410785610089e-06,plural,indefinite,Unas,s,[MASK] schnea,"[CLS] , [MASK] , s , ##ch , ##nea , [SEP]",morphemic,12.051737276654402,5.2463617905584545,-5.246361790558411
9,9,schnea,schneas,plur,4,default,1.524405070085777e-05,plural,indefinite,Unas,s,[MASK] schneas,"[CLS] , [MASK] , s , ##ch , ##nea , ##s , [SEP]",morphemic,11.091321249003208,-0.7480850278751561,0.7480850278751568
11,11,schnea,schnea##s,plur,4,artificial,1.524405070085777e-05,plural,indefinite,Unas,s,[MASK] schnea##s,"[CLS] , [MASK] , s , ##ch , ##nea , ##s , [SEP]",morphemic,11.091321249003208,-0.7480850278751561,0.7480850278751568
13,13,scea,scea,sing,2,default,0.0006473477696999,plural,definite,Las,s,[MASK] scea,"[CLS] , [MASK] , s , ##cea , [SEP]",morphemic,7.342626896742465,4.24320449610846,-4.243204496108597
15,15,scea,sceas,plur,3,default,0.0234567485749721,plural,definite,Las,s,[MASK] sceas,"[CLS] , [MASK] , s , ##cea , ##s , [SEP]",morphemic,3.752597039779116,-2.789657077373428,2.789657077373467
17,17,scea,scea##s,plur,3,artificial,0.0234567485749721,plural,definite,Las,s,[MASK] scea##s,"[CLS] , [MASK] , s , ##cea , ##s , [SEP]",morphemic,3.752597039779116,-2.789657077373428,2.789657077373467
19,19,scea,scea,sing,2,default,1.0489537999092136e-05,plural,indefinite,Unas,s,[MASK] scea,"[CLS] , [MASK] , s , ##cea , [SEP]",morphemic,11.465132178557202,5.842464969665379,-5.842464969665378
21,21,scea,sceas,plur,3,default,0.0002069134934572,plural,indefinite,Unas,s,[MASK] sceas,"[CLS] , [MASK] , s , ##cea , ##s , [SEP]",morphemic,8.483209758049577,-0.37129497983682036,0.3712949798372221
23,23,scea,scea##s,plur,3,artificial,0.0002069134934572,plural,indefinite,Unas,s,[MASK] scea##s,"[CLS] , [MASK] , s , ##cea , ##s , [SEP]",morphemic,8.483209758049577,-0.37129497983682036,0.3712949798372221
25,25,cro,cro,sing,1,default,0.0001571793691255,plural,definite,Los,s,[MASK] cro,"[CLS] , [MASK] , cro , [SEP]",morphemic,8.758122926241418,3.091729105592318,-3.0917291055923943
27,27,cro,cros,plur,2,default,0.0001814684073906,plural,definite,Los,s,[MASK] cros,"[CLS] , [MASK] , cro , ##s , [SEP]",morphemic,8.61442898337368,3.694262514823108,-3.6942625148233206
29,29,cro,cro##s,plur,2,artificial,0.0001814684073906,plural,definite,Los,s,[MASK] cro##s,"[CLS] , [MASK] , cro , ##s , [SEP]",morphemic,8.61442898337368,3.694262514823108,-3.6942625148233206
31,31,cro,cro,sing,1,default,1.9587598671932938e-06,plural,indefinite,Unos,s,[MASK] cro,"[CLS] , [MASK] , cro , [SEP]",morphemic,13.143199005793887,4.939260912134788,-4.939260912134473
33,33,cro,cros,plur,2,default,3.615907871790114e-06,plural,indefinite,Unos,s,[MASK] cros,"[CLS] , [MASK] , cro , ##s , [SEP]",morphemic,12.53016759369306,5.265564942420821,-5.265564942420707
35,35,cro,cro##s,plur,2,artificial,3.615907871790114e-06,plural,indefinite,Unos,s,[MASK] cro##s,"[CLS] , [MASK] , cro , ##s , [SEP]",morphemic,12.53016759369306,5.265564942420821,-5.265564942420707
37,37,spoo,spoo,sing,2,default,0.0003112234699074,plural,definite,Los,s,[MASK] spoo,"[CLS] , [MASK] , sp , ##oo , [SEP]",morphemic,8.0749993510635,3.310950387025457,-3.310950387025513
39,39,spoo,spoos,plur,3,default,0.0099189728498458,plural,definite,Los,s,[MASK] spoos,"[CLS] , [MASK] , sp , ##oo , ##s , [SEP]",morphemic,4.61330590640865,-2.9434791488224636,2.943479148822623
41,41,spoo,spoo##s,plur,3,artificial,0.0099189728498458,plural,definite,Los,s,[MASK] spoo##s,"[CLS] , [MASK] , sp , ##oo , ##s , [SEP]",morphemic,4.61330590640865,-2.9434791488224636,2.943479148822623
43,43,spoo,spoo,sing,2,default,3.1337349355453625e-06,plural,indefinite,Unos,s,[MASK] spoo,"[CLS] , [MASK] , sp , ##oo , [SEP]",morphemic,12.673284994650883,6.2494969614383535,-6.249496961438295
45,45,spoo,spoos,plur,3,default,3.8199399568839e-05,plural,indefinite,Unos,s,[MASK] spoos,"[CLS] , [MASK] , sp , ##oo , ##s , [SEP]",morphemic,10.172690760568496,1.0484142043760158,-1.048414204375837
47,47,spoo,spoo##s,plur,3,artificial,3.8199399568839e-05,plural,indefinite,Unos,s,[MASK] spoo##s,"[CLS] , [MASK] , sp , ##oo , ##s , [SEP]",morphemic,10.172690760568496,1.0484142043760158,-1.048414204375837
49,49,cria,cria,sing,1,default,0.0004506738914642,plural,definite,Las,s,[MASK] cria,"[CLS] , [MASK] , cria , [SEP]",morphemic,7.704766558802395,4.474973604892035,-4.474973604892142
51,51,cria,crias,plur,2,default,0.0493586026132106,plural,definite,Las,s,[MASK] crias,"[CLS] , [MASK] , cria , ##s , [SEP]",morphemic,3.0086432098908755,-4.507472102750558,4.5074721027505875
53,53,cria,cria##s,plur,2,artificial,0.0493586026132106,plural,definite,Las,s,[MASK] cria##s,"[CLS] , [MASK] , cria , ##s , [SEP]",morphemic,3.0086432098908755,-4.507472102750558,4.5074721027505875
55,55,cria,cria,sing,1,default,1.3795039194519632e-05,plural,indefinite,Unas,s,[MASK] cria,"[CLS] , [MASK] , cria , [SEP]",morphemic,11.191201509087056,7.0824633198764015,-7.082463319876399
57,57,cria,crias,plur,2,default,0.0007575582712888,plural,indefinite,Unas,s,[MASK] crias,"[CLS] , [MASK] , cria , ##s , [SEP]",morphemic,7.185410097745497,-1.1793970115938945,1.1793970115939185
59,59,cria,cria##s,plur,2,artificial,0.0007575582712888,plural,indefinite,Unas,s,[MASK] cria##s,"[CLS] , [MASK] , cria , ##s , [SEP]",morphemic,7.185410097745497,-1.1793970115938945,1.1793970115939185
61,61,snea,snea,sing,2,default,6.87392966938205e-05,plural,definite,Las,s,[MASK] snea,"[CLS] , [MASK] , s , ##nea , [SEP]",morphemic,9.585189517991196,4.902969781503228,-4.902969781503221
63,63,snea,sneas,plur,3,default,0.0004138501535635,plural,definite,Las,s,[MASK] sneas,"[CLS] , [MASK] , s , ##nea , ##s , [SEP]",morphemic,7.79000659757206,-2.175842234056396,2.175842234056288
