,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,patrono,patrono,sing,2,default,7.580573679888404e-08,plural,plural,grandes,s,[MASK] patrono [MASK],"[CLS] , [MASK] , patr , ##ono , [MASK] , [SEP]",non_morphemic,16.39509186379934,4.576771711660188,-4.576771711660189
3,3,patrono,patronos,plur,2,default,1.976360636035679e-06,plural,plural,grandes,s,[MASK] patronos [MASK],"[CLS] , [MASK] , patr , ##onos , [MASK] , [SEP]",non_morphemic,13.134253467175956,-4.191054418771699,4.1910544187717
5,5,patrono,patrono##s,plur,3,artificial,1.853240610216744e-05,plural,plural,grandes,s,[MASK] patrono##s [MASK],"[CLS] , [MASK] , patr , ##ono , ##s , [MASK] , [SEP]",non_morphemic,10.895989677086003,-4.101751334453226,4.101751334453225
7,7,premisa,premisa,sing,2,default,1.0154631979730767e-07,plural,plural,grandes,s,[MASK] premisa [MASK],"[CLS] , [MASK] , premis , ##a , [MASK] , [SEP]",non_morphemic,16.10275078987895,4.499276087338696,-4.499276087338698
9,9,premisa,premisas,plur,2,default,3.843962076643948e-06,plural,plural,grandes,s,[MASK] premisas [MASK],"[CLS] , [MASK] , premis , ##as , [MASK] , [SEP]",non_morphemic,12.469006932502202,-5.775967694321574,5.775967694321574
11,11,premisa,premisa##s,plur,3,artificial,6.35461901765666e-06,plural,plural,grandes,s,[MASK] premisa##s [MASK],"[CLS] , [MASK] , premis , ##a , ##s , [MASK] , [SEP]",non_morphemic,11.96632860513462,-5.005638140533058,5.005638140533058
13,13,kilo,kilo,sing,2,default,8.631383025203831e-06,plural,plural,grandes,s,[MASK] kilo [MASK],"[CLS] , [MASK] , k , ##ilo , [MASK] , [SEP]",non_morphemic,11.660105807863683,1.8932513502969748,-1.893251350296976
15,15,kilo,kilos,plur,2,default,0.0001424425281584,plural,plural,grandes,s,[MASK] kilos [MASK],"[CLS] , [MASK] , k , ##ilos , [MASK] , [SEP]",non_morphemic,8.856571950776331,-3.711141562648873,3.711141562648689
17,17,kilo,kilo##s,plur,3,artificial,0.0002528132172301,plural,plural,grandes,s,[MASK] kilo##s [MASK],"[CLS] , [MASK] , k , ##ilo , ##s , [MASK] , [SEP]",non_morphemic,8.28285961371122,-3.3946562752280744,3.3946562752279137
19,19,bebedor,bebedor,sing,2,default,2.050795302466213e-07,plural,plural,grandes,es,[MASK] bebedor [MASK],"[CLS] , [MASK] , bebe , ##dor , [MASK] , [SEP]",non_morphemic,15.399867980619543,4.341156086726967,-4.341156086726969
21,21,bebedor,bebedores,plur,2,default,2.0922712792526e-05,plural,plural,grandes,es,[MASK] bebedores [MASK],"[CLS] , [MASK] , bebe , ##dores , [MASK] , [SEP]",non_morphemic,10.774675252579645,-3.9060935663550715,3.9060935663550733
23,23,bebedor,bebedor##es,plur,3,artificial,2.4100485461531207e-05,plural,plural,grandes,es,[MASK] bebedor##es [MASK],"[CLS] , [MASK] , bebe , ##dor , ##es , [MASK] , [SEP]",non_morphemic,10.633278574038544,-3.7516660202308447,3.7516660202308443
25,25,rumano,rumano,sing,2,default,1.6241789069226797e-07,plural,plural,grandes,s,[MASK] rumano [MASK],"[CLS] , [MASK] , rum , ##ano , [MASK] , [SEP]",non_morphemic,15.633093250925226,3.6062803242657306,-3.606280324265729
27,27,rumano,rumanos,plur,2,default,1.480245282436954e-05,plural,plural,grandes,s,[MASK] rumanos [MASK],"[CLS] , [MASK] , rum , ##anos , [MASK] , [SEP]",non_morphemic,11.120717659549811,-4.056572940187831,4.056572940187831
29,29,rumano,rumano##s,plur,3,artificial,1.6364037946914323e-05,plural,plural,grandes,s,[MASK] rumano##s [MASK],"[CLS] , [MASK] , rum , ##ano , ##s , [MASK] , [SEP]",non_morphemic,11.020424438973246,-3.6582174265626737,3.6582174265626746
31,31,mandatario,mandatario,sing,2,default,9.608031348307122e-08,plural,plural,grandes,s,[MASK] mandatario [MASK],"[CLS] , [MASK] , manda , ##tario , [MASK] , [SEP]",non_morphemic,16.15808139645029,4.045313891728277,-4.0453138917282745
33,33,mandatario,mandatarios,plur,2,default,2.8715883672703058e-05,plural,plural,grandes,s,[MASK] mandatarios [MASK],"[CLS] , [MASK] , manda , ##tarios , [MASK] , [SEP]",non_morphemic,10.45806015021579,-4.117729189048747,4.117729189048744
35,35,mandatario,mandatario##s,plur,3,artificial,4.847887976211496e-05,plural,plural,grandes,s,[MASK] mandatario##s [MASK],"[CLS] , [MASK] , manda , ##tario , ##s , [MASK] , [SEP]",non_morphemic,9.934382323687291,-4.054132451857514,4.054132451857514
37,37,negociador,negociador,sing,2,default,5.549650961000907e-09,plural,plural,grandes,es,[MASK] negociador [MASK],"[CLS] , [MASK] , negociado , ##r , [MASK] , [SEP]",non_morphemic,19.009530801075467,4.7479123527509195,-4.74791235275092
39,39,negociador,negociadores,plur,2,default,8.318352229252923e-07,plural,plural,grandes,es,[MASK] negociadores [MASK],"[CLS] , [MASK] , negociado , ##res , [MASK] , [SEP]",non_morphemic,13.999631465108209,-4.501264543541783,4.501264543541786
41,41,negociador,negociador##es,plur,3,artificial,1.59745252403809e-06,plural,plural,grandes,es,[MASK] negociador##es [MASK],"[CLS] , [MASK] , negociado , ##r , ##es , [MASK] , [SEP]",non_morphemic,13.34710037004833,-4.672053294063151,4.6720532940631525
43,43,comicio,comicio,sing,2,default,3.541169064646965e-07,plural,plural,grandes,s,[MASK] comicio [MASK],"[CLS] , [MASK] , com , ##icio , [MASK] , [SEP]",non_morphemic,14.853638734080713,3.7152499239019416,-3.7152499239019376
45,45,comicio,comicios,plur,2,default,2.358475285291206e-05,plural,plural,grandes,s,[MASK] comicios [MASK],"[CLS] , [MASK] , com , ##icios , [MASK] , [SEP]",non_morphemic,10.654910120277568,-5.558182739493551,5.558182739493554
47,47,comicio,comicio##s,plur,3,artificial,2.256854895676952e-05,plural,plural,grandes,s,[MASK] comicio##s [MASK],"[CLS] , [MASK] , com , ##icio , ##s , [MASK] , [SEP]",non_morphemic,10.69895325999601,-4.026419625660122,4.0264196256601235
49,49,sondeo,sondeo,sing,2,default,1.184854909297428e-06,plural,plural,grandes,s,[MASK] sondeo [MASK],"[CLS] , [MASK] , son , ##deo , [MASK] , [SEP]",non_morphemic,13.64589023028495,3.3264341554907197,-3.3264341554907197
51,51,sondeo,sondeos,plur,2,default,3.241018202970736e-05,plural,plural,grandes,s,[MASK] sondeos [MASK],"[CLS] , [MASK] , son , ##deos , [MASK] , [SEP]",non_morphemic,10.337037924359224,-4.802869765896936,4.802869765896938
53,53,sondeo,sondeo##s,plur,3,artificial,4.833599814446643e-05,plural,plural,grandes,s,[MASK] sondeo##s [MASK],"[CLS] , [MASK] , son , ##deo , ##s , [MASK] , [SEP]",non_morphemic,9.93733397170819,-4.754487964099853,4.754487964099853
55,55,insulto,insulto,sing,2,default,5.644286602546345e-07,plural,plural,grandes,s,[MASK] insulto [MASK],"[CLS] , [MASK] , insul , ##to , [MASK] , [SEP]",non_morphemic,14.387451838216911,5.026723009202767,-5.026723009202769
57,57,insulto,insultos,plur,2,default,4.449765037861653e-05,plural,plural,grandes,s,[MASK] insultos [MASK],"[CLS] , [MASK] , insul , ##tos , [MASK] , [SEP]",non_morphemic,10.020074170666602,-3.882826818885306,3.882826818885306
59,59,insulto,insulto##s,plur,3,artificial,5.4571770306210965e-05,plural,plural,grandes,s,[MASK] insulto##s [MASK],"[CLS] , [MASK] , insul , ##to , ##s , [MASK] , [SEP]",non_morphemic,9.81599383627692,-3.625310882793551,3.6253108827935527
61,61,analista,analista,sing,2,default,2.148343369867689e-08,plural,plural,grandes,s,[MASK] analista [MASK],"[CLS] , [MASK] , anal , ##ista , [MASK] , [SEP]",non_morphemic,17.65598372446319,4.313053182151663,-4.313053182151662
63,63,analista,analistas,plur,2,default,5.782362677564379e-06,plural,plural,grandes,s,[MASK] analistas [MASK],"[CLS] , [MASK] , anal , ##istas , [MASK] , [SEP]",non_morphemic,12.06069819105806,-5.410779044964029,5.410779044964027
65,65,analista,analista##s,plur,3,artificial,5.214584234636277e-06,plural,plural,grandes,s,[MASK] analista##s [MASK],"[CLS] , [MASK] , anal , ##ista , ##s , [MASK] , [SEP]",non_morphemic,12.164051197591698,-4.162360214959444,4.162360214959443
67,67,nexo,nexo,sing,2,default,1.4336426090721946e-07,plural,plural,grandes,s,[MASK] nexo [MASK],"[CLS] , [MASK] , ne , ##xo , [MASK] , [SEP]",non_morphemic,15.757877166431426,4.696130861369953,-4.696130861369954
69,69,nexo,nexos,plur,2,default,6.563665374414995e-05,plural,plural,grandes,s,[MASK] nexos [MASK],"[CLS] , [MASK] , ne , ##xos , [MASK] , [SEP]",non_morphemic,9.631376271954863,-5.270048177306233,5.270048177306231
71,71,nexo,nexo##s,plur,3,artificial,2.674790084711276e-05,plural,plural,grandes,s,[MASK] nexo##s [MASK],"[CLS] , [MASK] , ne , ##xo , ##s , [MASK] , [SEP]",non_morphemic,10.529054560706555,-5.524855599603583,5.524855599603582
73,73,cautivo,cautivo,sing,2,default,1.523916012047266e-06,plural,plural,grandes,s,[MASK] cautivo [MASK],"[CLS] , [MASK] , cautiv , ##o , [MASK] , [SEP]",non_morphemic,13.39422721242365,3.6382093497048196,-3.6382093497048196
75,75,cautivo,cautivos,plur,2,default,9.223097731592134e-05,plural,plural,grandes,s,[MASK] cautivos [MASK],"[CLS] , [MASK] , cautiv , ##os , [MASK] , [SEP]",non_morphemic,9.291214504264914,-3.0268983825457614,3.0268983825457627
77,77,cautivo,cautivo##s,plur,3,artificial,8.867937867762521e-05,plural,plural,grandes,s,[MASK] cautivo##s [MASK],"[CLS] , [MASK] , cautiv , ##o , ##s , [MASK] , [SEP]",non_morphemic,9.330483179582329,-2.9002085011010106,2.9002085011010146
79,79,millar,millar,sing,2,default,2.1974535684421426e-06,plural,plural,grandes,es,[MASK] millar [MASK],"[CLS] , [MASK] , milla , ##r , [MASK] , [SEP]",non_morphemic,13.028211336874405,4.360008263170835,-4.360008263170635
81,81,millar,millares,plur,2,default,0.0001279034768231,plural,plural,grandes,es,[MASK] millares [MASK],"[CLS] , [MASK] , milla , ##res , [MASK] , [SEP]",non_morphemic,8.964234665830881,-3.637141226406781,3.6371412264066145
83,83,millar,millar##es,plur,3,artificial,0.0001369495148537,plural,plural,grandes,es,[MASK] millar##es [MASK],"[CLS] , [MASK] , milla , ##r , ##es , [MASK] , [SEP]",non_morphemic,8.895898204767718,-3.392453201311529,3.3924532013110307
85,85,reformista,reformista,sing,2,default,1.3298792111982038e-07,plural,plural,grandes,s,[MASK] reformista [MASK],"[CLS] , [MASK] , reform , ##ista , [MASK] , [SEP]",non_morphemic,15.833007531496888,3.339382170665383,-3.3393821706653832
87,87,reformista,reformistas,plur,2,default,2.0967849195585583e-05,plural,plural,grandes,s,[MASK] reformistas [MASK],"[CLS] , [MASK] , reform , ##istas , [MASK] , [SEP]",non_morphemic,10.772520284091048,-5.218292291243577,5.218292291243574
89,89,reformista,reformista##s,plur,3,artificial,1.1553490367077757e-05,plural,plural,grandes,s,[MASK] reformista##s [MASK],"[CLS] , [MASK] , reform , ##ista , ##s , [MASK] , [SEP]",non_morphemic,11.368522970364785,-4.547788649748419,4.54778864974842
91,91,uruguaya,uruguaya,sing,2,default,8.733007348382671e-07,plural,plural,grandes,s,[MASK] uruguaya [MASK],"[CLS] , [MASK] , uruguay , ##a , [MASK] , [SEP]",non_morphemic,13.950985856077098,2.6714792396063576,-2.6714792396063602
93,93,uruguaya,uruguayas,plur,2,default,1.730952862999402e-05,plural,plural,grandes,s,[MASK] uruguayas [MASK],"[CLS] , [MASK] , uruguay , ##as , [MASK] , [SEP]",non_morphemic,10.964253420227577,-4.354221274621823,4.354221274621826
