,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,spaio,spaio,sing,2,default,1.3325368399819126e-06,plural,plural,grandes,s,[MASK] spaio [MASK],"[CLS] , [MASK] , spa , ##io , [MASK] , [SEP]",nonmorphemic,13.528426034022614,4.323605558839073,-4.323605558838215
3,3,spaio,spaios,plur,2,default,3.606820610002615e-05,plural,plural,grandes,s,[MASK] spaios [MASK],"[CLS] , [MASK] , spa , ##ios , [MASK] , [SEP]",nonmorphemic,10.230098798135716,-2.639134304317597,2.6391343043175954
5,5,spaio,spaio##s,plur,3,artificial,4.165779682807624e-05,plural,plural,grandes,s,[MASK] spaio##s [MASK],"[CLS] , [MASK] , spa , ##io , ##s , [MASK] , [SEP]",nonmorphemic,10.086022008117592,-2.246231059135056,2.246231059135056
7,7,shrao,shrao,sing,3,default,2.272701294714352e-06,plural,plural,grandes,s,[MASK] shrao [MASK],"[CLS] , [MASK] , sh , ##ra , ##o , [MASK] , [SEP]",nonmorphemic,12.994541436285456,2.6465692496011997,-2.646569249601199
9,9,shrao,shraos,plur,3,default,5.38673011760693e-05,plural,plural,grandes,s,[MASK] shraos [MASK],"[CLS] , [MASK] , sh , ##ra , ##os , [MASK] , [SEP]",nonmorphemic,9.828986921356051,-1.7309351000253592,1.7309351000253592
11,11,shrao,shrao##s,plur,4,artificial,2.97123879136052e-05,plural,plural,grandes,s,[MASK] shrao##s [MASK],"[CLS] , [MASK] , sh , ##ra , ##o , ##s , [MASK] , [SEP]",nonmorphemic,10.423946497650068,-1.0770416496249435,1.0770416496249435
13,13,mceo,mceo,sing,3,default,1.2153510624557384e-06,plural,plural,grandes,s,[MASK] mceo [MASK],"[CLS] , [MASK] , m , ##ce , ##o , [MASK] , [SEP]",nonmorphemic,13.62047758261418,3.9807490766529305,-3.9807490766529305
15,15,mceo,mceos,plur,3,default,5.667008372256532e-05,plural,plural,grandes,s,[MASK] mceos [MASK],"[CLS] , [MASK] , m , ##ce , ##os , [MASK] , [SEP]",nonmorphemic,9.778264110413708,-3.2022857495375163,3.2022857495375185
17,17,mceo,mceo##s,plur,4,artificial,3.745473441085778e-05,plural,plural,grandes,s,[MASK] mceo##s [MASK],"[CLS] , [MASK] , m , ##ce , ##o , ##s , [MASK] , [SEP]",nonmorphemic,10.192377436475756,-2.7772731848851038,2.7772731848851016
19,19,lia,lia,sing,2,default,3.856003786495421e-06,plural,plural,grandes,s,[MASK] lia [MASK],"[CLS] , [MASK] , li , ##a , [MASK] , [SEP]",nonmorphemic,12.465879199241504,3.305270187936861,-3.3052701879360473
21,21,lia,lias,plur,2,default,8.237429574364796e-05,plural,plural,grandes,s,[MASK] lias [MASK],"[CLS] , [MASK] , li , ##as , [MASK] , [SEP]",nonmorphemic,9.404237114572409,-2.042796141340908,2.0427961413409084
23,23,lia,lia##s,plur,3,artificial,6.20039863861166e-05,plural,plural,grandes,s,[MASK] lia##s [MASK],"[CLS] , [MASK] , li , ##a , ##s , [MASK] , [SEP]",nonmorphemic,9.688311878435847,-1.4635095744554327,1.4635095744554296
25,25,krio,krio,sing,2,default,3.8780513023084495e-06,plural,plural,grandes,s,[MASK] krio [MASK],"[CLS] , [MASK] , k , ##rio , [MASK] , [SEP]",nonmorphemic,12.460177772167766,1.8323039134133214,-1.8323039134133219
27,27,krio,krios,plur,2,default,5.993700324324891e-05,plural,plural,grandes,s,[MASK] krios [MASK],"[CLS] , [MASK] , k , ##rios , [MASK] , [SEP]",nonmorphemic,9.72221649326739,-4.414278063324829,4.414278063324829
29,29,krio,krio##s,plur,3,artificial,5.76322890992742e-05,plural,plural,grandes,s,[MASK] krio##s [MASK],"[CLS] , [MASK] , k , ##rio , ##s , [MASK] , [SEP]",nonmorphemic,9.76142757268552,-3.928880663782749,3.928880663782746
31,31,floa,floa,sing,2,default,1.3239999816505588e-06,plural,plural,grandes,s,[MASK] floa [MASK],"[CLS] , [MASK] , flo , ##a , [MASK] , [SEP]",nonmorphemic,13.534853114308552,3.688126587947698,-3.688126587947699
33,33,floa,floas,plur,2,default,5.612674431176856e-05,plural,plural,grandes,s,[MASK] floas [MASK],"[CLS] , [MASK] , flo , ##as , [MASK] , [SEP]",nonmorphemic,9.787898133333243,-2.588606761125991,2.588606761125991
35,35,floa,floa##s,plur,3,artificial,3.130395998596214e-05,plural,plural,grandes,s,[MASK] floa##s [MASK],"[CLS] , [MASK] , flo , ##a , ##s , [MASK] , [SEP]",nonmorphemic,10.371765951297393,-1.2940149673468717,1.294014967346872
37,37,cea,cea,sing,2,default,4.663616891775746e-06,plural,plural,grandes,s,[MASK] cea [MASK],"[CLS] , [MASK] , ce , ##a , [MASK] , [SEP]",nonmorphemic,12.2757192538474,3.3038721721603697,-3.303872172159783
39,39,cea,ceas,plur,2,default,8.433059701928869e-05,plural,plural,grandes,s,[MASK] ceas [MASK],"[CLS] , [MASK] , ce , ##as , [MASK] , [SEP]",nonmorphemic,9.380765804842856,-4.337040955298827,4.337040955298826
41,41,cea,cea##s,plur,3,artificial,0.0001335901470156,plural,plural,grandes,s,[MASK] cea##s [MASK],"[CLS] , [MASK] , ce , ##a , ##s , [MASK] , [SEP]",nonmorphemic,8.920734049464329,-3.6374093010023465,3.6374093010020587
43,43,thro,thro,sing,2,default,1.4660596434623583e-06,plural,plural,grandes,s,[MASK] thro [MASK],"[CLS] , [MASK] , th , ##ro , [MASK] , [SEP]",nonmorphemic,13.432932270837393,2.6093082352445567,-2.6093082352445567
45,45,thro,thros,plur,2,default,2.2192931282916103e-05,plural,plural,grandes,s,[MASK] thros [MASK],"[CLS] , [MASK] , th , ##ros , [MASK] , [SEP]",nonmorphemic,10.715736730468938,-4.43638221333277,4.436382213332769
47,47,thro,thro##s,plur,3,artificial,2.170618790842127e-05,plural,plural,grandes,s,[MASK] thro##s [MASK],"[CLS] , [MASK] , th , ##ro , ##s , [MASK] , [SEP]",nonmorphemic,10.737913180997303,-0.7621183060535497,0.7621183060535481
49,49,caio,caio,sing,2,default,9.085648571272032e-07,plural,plural,grandes,s,[MASK] caio [MASK],"[CLS] , [MASK] , ca , ##io , [MASK] , [SEP]",nonmorphemic,13.911399562415344,3.277006202059477,-3.277006202059476
51,51,caio,caios,plur,2,default,1.00927218227298e-05,plural,plural,grandes,s,[MASK] caios [MASK],"[CLS] , [MASK] , ca , ##ios , [MASK] , [SEP]",nonmorphemic,11.50369600549332,-2.4654265232897323,2.465426523289734
53,53,caio,caio##s,plur,3,artificial,2.106251849909313e-05,plural,plural,grandes,s,[MASK] caio##s [MASK],"[CLS] , [MASK] , ca , ##io , ##s , [MASK] , [SEP]",nonmorphemic,10.768015471556856,-2.365430809027492,2.365430809027492
55,55,physoo,physoo,sing,4,default,1.3253137467472698e-06,plural,plural,grandes,s,[MASK] physoo [MASK],"[CLS] , [MASK] , p , ##hy , ##so , ##o , [MASK] , [SEP]",nonmorphemic,13.533861336558475,2.6554317996065393,-2.65543179960654
57,57,physoo,physoos,plur,4,default,2.3703969418420456e-05,plural,plural,grandes,s,[MASK] physoos [MASK],"[CLS] , [MASK] , p , ##hy , ##so , ##os , [MASK] , [SEP]",nonmorphemic,10.649868037838102,-1.9795027003979175,1.9795027003979166
59,59,physoo,physoo##s,plur,5,artificial,2.033397777267965e-06,plural,plural,grandes,s,[MASK] physoo##s [MASK],"[CLS] , [MASK] , p , ##hy , ##so , ##o , ##s , [MASK] , [SEP]",nonmorphemic,13.10580238221701,0.5993966732825218,-0.5993966732825229
61,61,cheia,cheia,sing,2,default,1.271885480491619e-06,plural,plural,grandes,s,[MASK] cheia [MASK],"[CLS] , [MASK] , che , ##ia , [MASK] , [SEP]",nonmorphemic,13.57501012815943,3.6894655194741617,-3.6894655194741643
63,63,cheia,cheias,plur,2,default,4.582686597132124e-05,plural,plural,grandes,s,[MASK] cheias [MASK],"[CLS] , [MASK] , che , ##ias , [MASK] , [SEP]",nonmorphemic,9.99064004556242,-1.9833926516065308,1.983392651606529
65,65,cheia,cheia##s,plur,3,artificial,6.363943248288706e-05,plural,plural,grandes,s,[MASK] cheia##s [MASK],"[CLS] , [MASK] , che , ##ia , ##s , [MASK] , [SEP]",nonmorphemic,9.662277272150932,-1.8407783186121112,1.8407783186121123
67,67,chroo,chroo,sing,3,default,1.9955964489781763e-06,plural,plural,grandes,s,[MASK] chroo [MASK],"[CLS] , [MASK] , ch , ##ro , ##o , [MASK] , [SEP]",nonmorphemic,13.12456758038676,4.296357127304992,-4.296357127304804
69,69,chroo,chroos,plur,3,default,2.91740561806364e-05,plural,plural,grandes,s,[MASK] chroos [MASK],"[CLS] , [MASK] , ch , ##ro , ##os , [MASK] , [SEP]",nonmorphemic,10.442230730593035,-1.5926093538945363,1.5926093538945356
71,71,chroo,chroo##s,plur,4,artificial,3.469456351012923e-05,plural,plural,grandes,s,[MASK] chroo##s [MASK],"[CLS] , [MASK] , ch , ##ro , ##o , ##s , [MASK] , [SEP]",nonmorphemic,10.268927554463504,-1.2032794834883713,1.2032794834883729
73,73,knua,knua,sing,3,default,5.430337296274956e-06,plural,plural,grandes,s,[MASK] knua [MASK],"[CLS] , [MASK] , k , ##nu , ##a , [MASK] , [SEP]",nonmorphemic,12.123509308769911,2.6331519307123497,-2.6331519307123523
75,75,knua,knuas,plur,3,default,8.786963007878512e-05,plural,plural,grandes,s,[MASK] knuas [MASK],"[CLS] , [MASK] , k , ##nu , ##as , [MASK] , [SEP]",nonmorphemic,9.339656318334676,-2.2927141546605316,2.2927141546605307
77,77,knua,knua##s,plur,4,artificial,1.3655066140927374e-05,plural,plural,grandes,s,[MASK] knua##s [MASK],"[CLS] , [MASK] , k , ##nu , ##a , ##s , [MASK] , [SEP]",nonmorphemic,11.201399959335406,1.0924329906514778,-1.0924329906514785
79,79,schraa,schraa,sing,4,default,6.650606110270019e-07,plural,plural,grandes,s,[MASK] schraa [MASK],"[CLS] , [MASK] , s , ##ch , ##ra , ##a , [MASK] , [SEP]",nonmorphemic,14.22338765604245,3.7449360067263022,-3.7449360067263004
81,81,schraa,schraas,plur,4,default,2.308680814167019e-05,plural,plural,grandes,s,[MASK] schraas [MASK],"[CLS] , [MASK] , s , ##ch , ##ra , ##as , [MASK] , [SEP]",nonmorphemic,10.676249179680774,-1.2533131368404895,1.2533131368404904
83,83,schraa,schraa##s,plur,5,artificial,9.69634493230842e-06,plural,plural,grandes,s,[MASK] schraa##s [MASK],"[CLS] , [MASK] , s , ##ch , ##ra , ##a , ##s , [MASK] , [SEP]",nonmorphemic,11.543761554568304,0.0785293135109768,-0.07852931351097528
85,85,smoa,smoa,sing,3,default,8.619231834927632e-07,plural,plural,grandes,s,[MASK] smoa [MASK],"[CLS] , [MASK] , s , ##mo , ##a , [MASK] , [SEP]",nonmorphemic,13.964099684531169,3.721466065824716,-3.7214660658247154
87,87,smoa,smoas,plur,3,default,2.62712492258288e-05,plural,plural,grandes,s,[MASK] smoas [MASK],"[CLS] , [MASK] , s , ##mo , ##as , [MASK] , [SEP]",nonmorphemic,10.54703540207317,-1.8869143065725194,1.8869143065725191
89,89,smoa,smoa##s,plur,4,artificial,1.5254944628395606e-05,plural,plural,grandes,s,[MASK] smoa##s [MASK],"[CLS] , [MASK] , s , ##mo , ##a , ##s , [MASK] , [SEP]",nonmorphemic,11.09060686953703,0.22522643533142173,-0.22522643533142261
91,91,shreia,shreia,sing,3,default,1.6049108353399788e-06,plural,plural,grandes,s,[MASK] shreia [MASK],"[CLS] , [MASK] , sh , ##re , ##ia , [MASK] , [SEP]",nonmorphemic,13.342442357230802,3.2441712090526416,-3.2441712090526416
93,93,shreia,shreias,plur,3,default,7.172219920903444e-05,plural,plural,grandes,s,[MASK] shreias [MASK],"[CLS] , [MASK] , sh , ##re , ##ias , [MASK] , [SEP]",nonmorphemic,9.542710245879364,-2.629759832457344,2.6297598324573452
95,95,shreia,shreia##s,plur,4,artificial,3.6769186408491805e-05,plural,plural,grandes,s,[MASK] shreia##s [MASK],"[CLS] , [MASK] , sh , ##re , ##ia , ##s , [MASK] , [SEP]",nonmorphemic,10.210850389398695,-1.8067827529066616,1.8067827529066598
97,97,mcdaio,mcdaio,sing,4,default,4.290808419682435e-07,plural,plural,grandes,s,[MASK] mcdaio [MASK],"[CLS] , [MASK] , m , ##c , ##da , ##io , [MASK] , [SEP]",nonmorphemic,14.661620492955093,3.9486989801630017,-3.9486989801630004
99,99,mcdaio,mcdaios,plur,4,default,1.3143631804268807e-05,plural,plural,grandes,s,[MASK] mcdaios [MASK],"[CLS] , [MASK] , m , ##c , ##da , ##ios , [MASK] , [SEP]",nonmorphemic,11.239573190078389,-2.422210621202348,2.422210621202346
101,101,mcdaio,mcdaio##s,plur,5,artificial,1.023982167680515e-05,plural,plural,grandes,s,[MASK] mcdaio##s [MASK],"[CLS] , [MASK] , m , ##c , ##da , ##io , ##s , [MASK] , [SEP]",nonmorphemic,11.489226352879042,-1.5871991230626978,1.5871991230626987
103,103,chuo,chuo,sing,2,default,2.9411703508230858e-06,plural,plural,grandes,s,[MASK] chuo [MASK],"[CLS] , [MASK] , chu , ##o , [MASK] , [SEP]",nonmorphemic,12.73670297731466,3.941937504679201,-3.941937504679057
105,105,chuo,chuos,plur,2,default,0.0001140046952059,plural,plural,grandes,s,[MASK] chuos [MASK],"[CLS] , [MASK] , chu , ##os , [MASK] , [SEP]",nonmorphemic,9.0792709244008,-2.930387387045771,2.9303873870453407
107,107,chuo,chuo##s,plur,3,artificial,0.0001012832653941,plural,plural,grandes,s,[MASK] chuo##s [MASK],"[CLS] , [MASK] , chu , ##o , ##s , [MASK] , [SEP]",nonmorphemic,9.197589358834604,-2.628995863468864,2.6289958634682833
109,109,scroa,scroa,sing,3,default,9.74899080574687e-07,plural,plural,grandes,s,[MASK] scroa [MASK],"[CLS] , [MASK] , s , ##cro , ##a , [MASK] , [SEP]",nonmorphemic,13.84093187840868,3.8094825498139446,-3.8094825498139415
111,111,scroa,scroas,plur,3,default,5.369989594328217e-05,plural,plural,grandes,s,[MASK] scroas [MASK],"[CLS] , [MASK] , s , ##cro , ##as , [MASK] , [SEP]",nonmorphemic,9.83209949419282,-2.788683912060396,2.788683912060398
113,113,scroa,scroa##s,plur,4,artificial,3.4959634831466246e-06,plural,plural,grandes,s,[MASK] scroa##s [MASK],"[CLS] , [MASK] , s , ##cro , ##a , ##s , [MASK] , [SEP]",nonmorphemic,12.56390154554973,1.1750830811984798,-1.1750830811984807
