,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,remedio,remedio,sing,1,default,0.014177271164953709,singular,es,s, [MASK] remedio [MASK],"[CLS] , [MASK] , remedio , [MASK] , [SEP]",morphemic,4.256115218925542
1,remedio,remedio,sing,1,default,0.0004343926557339728,plural,son,s, [MASK] remedio [MASK],"[CLS] , [MASK] , remedio , [MASK] , [SEP]",morphemic,7.741561696177218
2,remedio,reoedios,plur,3,default,0.0006404025480151176,singular,es,s, [MASK] reoedios [MASK],"[CLS] , [MASK] , re , ##oe , ##dios , [MASK] , [SEP]",morphemic,7.35341359806275
3,remedio,reoedios,plur,3,default,0.01034169178456068,plural,son,s, [MASK] reoedios [MASK],"[CLS] , [MASK] , re , ##oe , ##dios , [MASK] , [SEP]",morphemic,4.571571807757302
4,remedio,remedio##s,plur,2,artificial,0.018305344507098198,singular,es,s, [MASK] remedio##s [MASK],"[CLS] , El , remedio , ##s , [MASK] , [SEP]",morphemic,4.000562212204728
5,remedio,remedio##s,plur,2,artificial,0.031044235453009605,plural,son,s, [MASK] remedio##s [MASK],"[CLS] , El , remedio , ##s , [MASK] , [SEP]",morphemic,3.47234214152572
6,cierre,cierre,sing,1,default,0.0016060564666986465,singular,es,s, [MASK] cierre [MASK],"[CLS] , [MASK] , cierre , [MASK] , [SEP]",morphemic,6.433973504238395
7,cierre,cierre,sing,1,default,9.492506796959788e-05,plural,son,s, [MASK] cierre [MASK],"[CLS] , [MASK] , cierre , [MASK] , [SEP]",morphemic,9.262422735811922
8,cierre,cierrss,plur,3,default,0.003950139973312616,singular,es,s, [MASK] cierrss [MASK],"[CLS] , [MASK] , cier , ##rs , ##s , [MASK] , [SEP]",morphemic,5.534004264415282
9,cierre,cierrss,plur,3,default,0.002857794053852558,plural,son,s, [MASK] cierrss [MASK],"[CLS] , [MASK] , cier , ##rs , ##s , [MASK] , [SEP]",morphemic,5.857705261604619
10,cierre,cierre##s,plur,2,artificial,0.00862222258001566,singular,es,s, [MASK] cierre##s [MASK],"[CLS] , El , cierre , ##s , [MASK] , [SEP]",morphemic,4.7534123876325225
11,cierre,cierre##s,plur,2,artificial,0.045126985758543015,plural,son,s, [MASK] cierre##s [MASK],"[CLS] , El , cierre , ##s , [MASK] , [SEP]",morphemic,3.0982748575678305
12,gestore,gestore,sing,2,default,0.006997957359999418,singular,es,s, [MASK] gestore [MASK],"[CLS] , [MASK] , gestor , ##e , [MASK] , [SEP]",morphemic,4.962136978224764
13,gestore,gestore,sing,2,default,0.00010218903480563313,plural,son,s, [MASK] gestore [MASK],"[CLS] , [MASK] , gestor , ##e , [MASK] , [SEP]",morphemic,9.188686177480827
14,gestore,gestobes,plur,2,default,0.002053500385954976,singular,es,s, [MASK] gestobes [MASK],"[CLS] , [MASK] , gesto , ##bes , [MASK] , [SEP]",morphemic,6.188209436617848
15,gestore,gestobes,plur,2,default,0.006007071118801832,plural,son,s, [MASK] gestobes [MASK],"[CLS] , [MASK] , gesto , ##bes , [MASK] , [SEP]",morphemic,5.1148179838631
16,gestore,gestore##s,plur,3,artificial,0.08835900574922562,singular,es,s, [MASK] gestore##s [MASK],"[CLS] , El , gestor , ##e , ##s , [MASK] , [SEP]",morphemic,2.4263471527657594
17,gestore,gestore##s,plur,3,artificial,0.006443969905376434,plural,son,s, [MASK] gestore##s [MASK],"[CLS] , El , gestor , ##e , ##s , [MASK] , [SEP]",morphemic,5.044610483855776
18,monopolio,monopolio,sing,1,default,0.010350367985665798,singular,es,s, [MASK] monopolio [MASK],"[CLS] , [MASK] , monopolio , [MASK] , [SEP]",morphemic,4.570733205732185
19,monopolio,monopolio,sing,1,default,0.000743769109249115,plural,son,s, [MASK] monopolio [MASK],"[CLS] , [MASK] , monopolio , [MASK] , [SEP]",morphemic,7.203779908326443
20,monopolio,mynopolios,plur,4,default,0.0014182698214426637,singular,es,s, [MASK] mynopolios [MASK],"[CLS] , [MASK] , my , ##no , ##poli , ##os , [MASK] , [SEP]",morphemic,6.5583175858688945
21,monopolio,mynopolios,plur,4,default,0.012700540013611317,plural,son,s, [MASK] mynopolios [MASK],"[CLS] , [MASK] , my , ##no , ##poli , ##os , [MASK] , [SEP]",morphemic,4.366110765664777
