,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,spaio,spaio,sing,2,default,0.006020563654601574,singular,singular,es,s,[MASK] spaio [MASK],"[CLS] , [MASK] , spa , ##io , [MASK] , [SEP]",nonmorphemic,5.112574393711966
1,spaio,spaio,sing,2,default,0.0008363747620023787,plural,plural,son,s,[MASK] spaio [MASK],"[CLS] , [MASK] , spa , ##io , [MASK] , [SEP]",nonmorphemic,7.086433765419841
2,spaio,spaios,plur,2,default,0.0038569923490285873,singular,singular,es,s,[MASK] spaios [MASK],"[CLS] , [MASK] , spa , ##ios , [MASK] , [SEP]",nonmorphemic,5.557867583416663
3,spaio,spaios,plur,2,default,0.008350524120032787,plural,plural,son,s,[MASK] spaios [MASK],"[CLS] , [MASK] , spa , ##ios , [MASK] , [SEP]",nonmorphemic,4.785430973223054
4,spaio,spaio##s,plur,3,artificial,0.003744544228538871,singular,singular,es,s,[MASK] spaio##s [MASK],"[CLS] , [MASK] , spa , ##io , ##s , [MASK] , [SEP]",nonmorphemic,5.587455370743895
5,spaio,spaio##s,plur,3,artificial,0.00869376864284277,plural,plural,son,s,[MASK] spaio##s [MASK],"[CLS] , [MASK] , spa , ##io , ##s , [MASK] , [SEP]",nonmorphemic,4.745148757898815
6,shrao,shrao,sing,3,default,0.004506046883761883,singular,singular,es,s,[MASK] shrao [MASK],"[CLS] , [MASK] , sh , ##ra , ##o , [MASK] , [SEP]",nonmorphemic,5.402335032285449
7,shrao,shrao,sing,3,default,0.0009353767964057624,plural,plural,son,s,[MASK] shrao [MASK],"[CLS] , [MASK] , sh , ##ra , ##o , [MASK] , [SEP]",nonmorphemic,6.974561119046272
8,shrao,shraos,plur,3,default,0.005588219966739416,singular,singular,es,s,[MASK] shraos [MASK],"[CLS] , [MASK] , sh , ##ra , ##os , [MASK] , [SEP]",nonmorphemic,5.187094474235573
9,shrao,shraos,plur,3,default,0.008085615001618862,plural,plural,son,s,[MASK] shraos [MASK],"[CLS] , [MASK] , sh , ##ra , ##os , [MASK] , [SEP]",nonmorphemic,4.817668721855431
10,shrao,shrao##s,plur,4,artificial,0.0047196936793625355,singular,singular,es,s,[MASK] shrao##s [MASK],"[CLS] , [MASK] , sh , ##ra , ##o , ##s , [MASK] , [SEP]",nonmorphemic,5.356011379930809
11,shrao,shrao##s,plur,4,artificial,0.005556455813348293,plural,plural,son,s,[MASK] shrao##s [MASK],"[CLS] , [MASK] , sh , ##ra , ##o , ##s , [MASK] , [SEP]",nonmorphemic,5.192794817615618
12,mceo,mceo,sing,3,default,0.023284103721380234,singular,singular,es,s,[MASK] mceo [MASK],"[CLS] , [MASK] , m , ##ce , ##o , [MASK] , [SEP]",nonmorphemic,3.7599843949622196
13,mceo,mceo,sing,3,default,0.0013611774193122983,plural,plural,son,s,[MASK] mceo [MASK],"[CLS] , [MASK] , m , ##ce , ##o , [MASK] , [SEP]",nonmorphemic,6.599405204284774
14,mceo,mceos,plur,3,default,0.008447015658020973,singular,singular,es,s,[MASK] mceos [MASK],"[CLS] , [MASK] , m , ##ce , ##os , [MASK] , [SEP]",nonmorphemic,4.773942076560151
15,mceo,mceos,plur,3,default,0.023973997682332993,plural,plural,son,s,[MASK] mceos [MASK],"[CLS] , [MASK] , m , ##ce , ##os , [MASK] , [SEP]",nonmorphemic,3.730785465871423
16,mceo,mceo##s,plur,4,artificial,0.014005312696099281,singular,singular,es,s,[MASK] mceo##s [MASK],"[CLS] , [MASK] , m , ##ce , ##o , ##s , [MASK] , [SEP]",nonmorphemic,4.26831854305775
17,mceo,mceo##s,plur,4,artificial,0.01599923148751259,plural,plural,son,s,[MASK] mceo##s [MASK],"[CLS] , [MASK] , m , ##ce , ##o , ##s , [MASK] , [SEP]",nonmorphemic,4.135214589926394
18,lia,lia,sing,2,default,0.007171181961894035,singular,singular,es,s,[MASK] lia [MASK],"[CLS] , [MASK] , li , ##a , [MASK] , [SEP]",nonmorphemic,4.937684789714741
19,lia,lia,sing,2,default,0.00038329316885210574,plural,plural,son,s,[MASK] lia [MASK],"[CLS] , [MASK] , li , ##a , [MASK] , [SEP]",nonmorphemic,7.866710407672122
20,lia,lias,plur,2,default,0.0035921602975577116,singular,singular,es,s,[MASK] lias [MASK],"[CLS] , [MASK] , li , ##as , [MASK] , [SEP]",nonmorphemic,5.6290015032690555
21,lia,lias,plur,2,default,0.0037663851398974657,plural,plural,son,s,[MASK] lias [MASK],"[CLS] , [MASK] , li , ##as , [MASK] , [SEP]",nonmorphemic,5.581639586345387
22,lia,lia##s,plur,3,artificial,0.006939070299267769,singular,singular,es,s,[MASK] lia##s [MASK],"[CLS] , [MASK] , li , ##a , ##s , [MASK] , [SEP]",nonmorphemic,4.970587476078752
23,lia,lia##s,plur,3,artificial,0.002260414185002446,plural,plural,son,s,[MASK] lia##s [MASK],"[CLS] , [MASK] , li , ##a , ##s , [MASK] , [SEP]",nonmorphemic,6.092207214789219
24,krio,krio,sing,2,default,0.004153463523834944,singular,singular,es,s,[MASK] krio [MASK],"[CLS] , [MASK] , k , ##rio , [MASK] , [SEP]",nonmorphemic,5.483812708754541
25,krio,krio,sing,2,default,0.00018938689026981592,plural,plural,son,s,[MASK] krio [MASK],"[CLS] , [MASK] , k , ##rio , [MASK] , [SEP]",nonmorphemic,8.571718596768337
26,krio,krios,plur,2,default,0.0019572805613279343,singular,singular,es,s,[MASK] krios [MASK],"[CLS] , [MASK] , k , ##rios , [MASK] , [SEP]",nonmorphemic,6.236199237875912
27,krio,krios,plur,2,default,0.001566665363498032,plural,plural,son,s,[MASK] krios [MASK],"[CLS] , [MASK] , k , ##rios , [MASK] , [SEP]",nonmorphemic,6.458805890744347
28,krio,krio##s,plur,3,artificial,0.0020036259666085243,singular,singular,es,s,[MASK] krio##s [MASK],"[CLS] , [MASK] , k , ##rio , ##s , [MASK] , [SEP]",nonmorphemic,6.212796756588487
29,krio,krio##s,plur,3,artificial,0.0011802130611613393,plural,plural,son,s,[MASK] krio##s [MASK],"[CLS] , [MASK] , k , ##rio , ##s , [MASK] , [SEP]",nonmorphemic,6.742060296497394
30,floa,floa,sing,2,default,0.006392492912709713,singular,singular,es,s,[MASK] floa [MASK],"[CLS] , [MASK] , flo , ##a , [MASK] , [SEP]",nonmorphemic,5.052630959487899
31,floa,floa,sing,2,default,0.00031089488766156137,plural,plural,son,s,[MASK] floa [MASK],"[CLS] , [MASK] , flo , ##a , [MASK] , [SEP]",nonmorphemic,8.076055684709383
32,floa,floas,plur,2,default,0.00523780845105648,singular,singular,es,s,[MASK] floas [MASK],"[CLS] , [MASK] , flo , ##as , [MASK] , [SEP]",nonmorphemic,5.251852102664848
33,floa,floas,plur,2,default,0.00773100508376956,plural,plural,son,s,[MASK] floas [MASK],"[CLS] , [MASK] , flo , ##as , [MASK] , [SEP]",nonmorphemic,4.862516401061613
34,floa,floa##s,plur,3,artificial,0.0063121020793914795,singular,singular,es,s,[MASK] floa##s [MASK],"[CLS] , [MASK] , flo , ##a , ##s , [MASK] , [SEP]",nonmorphemic,5.065286523295652
35,floa,floa##s,plur,3,artificial,0.002532482845708728,plural,plural,son,s,[MASK] floa##s [MASK],"[CLS] , [MASK] , flo , ##a , ##s , [MASK] , [SEP]",nonmorphemic,5.97855509552332
36,cea,cea,sing,2,default,0.011626439169049263,singular,singular,es,s,[MASK] cea [MASK],"[CLS] , [MASK] , ce , ##a , [MASK] , [SEP]",nonmorphemic,4.454473535683133
37,cea,cea,sing,2,default,0.0006300006643868983,plural,plural,son,s,[MASK] cea [MASK],"[CLS] , [MASK] , ce , ##a , [MASK] , [SEP]",nonmorphemic,7.369789683996873
38,cea,ceas,plur,2,default,0.0016670989571139216,singular,singular,es,s,[MASK] ceas [MASK],"[CLS] , [MASK] , ce , ##as , [MASK] , [SEP]",nonmorphemic,6.396670314579484
39,cea,ceas,plur,2,default,0.007529358379542828,plural,plural,son,s,[MASK] ceas [MASK],"[CLS] , [MASK] , ce , ##as , [MASK] , [SEP]",nonmorphemic,4.88894544936084
40,cea,cea##s,plur,3,artificial,0.00853416882455349,singular,singular,es,s,[MASK] cea##s [MASK],"[CLS] , [MASK] , ce , ##a , ##s , [MASK] , [SEP]",nonmorphemic,4.763677311830154
41,cea,cea##s,plur,3,artificial,0.006235617678612471,plural,plural,son,s,[MASK] cea##s [MASK],"[CLS] , [MASK] , ce , ##a , ##s , [MASK] , [SEP]",nonmorphemic,5.077477638419678
42,thro,thro,sing,2,default,0.002675259718671441,singular,singular,es,s,[MASK] thro [MASK],"[CLS] , [MASK] , th , ##ro , [MASK] , [SEP]",nonmorphemic,5.923708812255074
43,thro,thro,sing,2,default,0.0002272434503538534,plural,plural,son,s,[MASK] thro [MASK],"[CLS] , [MASK] , th , ##ro , [MASK] , [SEP]",nonmorphemic,8.389488646647205
44,thro,thros,plur,2,default,0.0014105428708717227,singular,singular,es,s,[MASK] thros [MASK],"[CLS] , [MASK] , th , ##ros , [MASK] , [SEP]",nonmorphemic,6.5637806338886
45,thro,thros,plur,2,default,0.0015493445098400116,plural,plural,son,s,[MASK] thros [MASK],"[CLS] , [MASK] , th , ##ros , [MASK] , [SEP]",nonmorphemic,6.469923334374497
46,thro,thro##s,plur,3,artificial,0.003358978545293212,singular,singular,es,s,[MASK] thro##s [MASK],"[CLS] , [MASK] , th , ##ro , ##s , [MASK] , [SEP]",nonmorphemic,5.696118355602742
47,thro,thro##s,plur,3,artificial,0.0016685693990439177,plural,plural,son,s,[MASK] thro##s [MASK],"[CLS] , [MASK] , th , ##ro , ##s , [MASK] , [SEP]",nonmorphemic,6.3957886669645285
48,caio,caio,sing,2,default,0.0078113628551363945,singular,singular,es,s,[MASK] caio [MASK],"[CLS] , [MASK] , ca , ##io , [MASK] , [SEP]",nonmorphemic,4.852175829056249
49,caio,caio,sing,2,default,0.000541713903658092,plural,plural,son,s,[MASK] caio [MASK],"[CLS] , [MASK] , ca , ##io , [MASK] , [SEP]",nonmorphemic,7.520772548917433
50,caio,caios,plur,2,default,0.001309519517235458,singular,singular,es,s,[MASK] caios [MASK],"[CLS] , [MASK] , ca , ##ios , [MASK] , [SEP]",nonmorphemic,6.638094989785875
51,caio,caios,plur,2,default,0.001518874429166317,plural,plural,son,s,[MASK] caios [MASK],"[CLS] , [MASK] , ca , ##ios , [MASK] , [SEP]",nonmorphemic,6.489785725562205
52,caio,caio##s,plur,3,artificial,0.003965552896261215,singular,singular,es,s,[MASK] caio##s [MASK],"[CLS] , [MASK] , ca , ##io , ##s , [MASK] , [SEP]",nonmorphemic,5.530109989414693
53,caio,caio##s,plur,3,artificial,0.0024885484017431736,plural,plural,son,s,[MASK] caio##s [MASK],"[CLS] , [MASK] , ca , ##io , ##s , [MASK] , [SEP]",nonmorphemic,5.996055709686775
54,physoo,physoo,sing,4,default,0.003270179033279419,singular,singular,es,s,[MASK] physoo [MASK],"[CLS] , [MASK] , p , ##hy , ##so , ##o , [MASK] , [SEP]",nonmorphemic,5.72291054533336
55,physoo,physoo,sing,4,default,0.0004639796679839492,plural,plural,son,s,[MASK] physoo [MASK],"[CLS] , [MASK] , p , ##hy , ##so , ##o , [MASK] , [SEP]",nonmorphemic,7.6756698256982085
56,physoo,physoos,plur,4,default,0.0015519772423431277,singular,singular,es,s,[MASK] physoos [MASK],"[CLS] , [MASK] , p , ##hy , ##so , ##os , [MASK] , [SEP]",nonmorphemic,6.468225520767326
57,physoo,physoos,plur,4,default,0.0015055015683174133,plural,plural,son,s,[MASK] physoos [MASK],"[CLS] , [MASK] , p , ##hy , ##so , ##os , [MASK] , [SEP]",nonmorphemic,6.498629168317746
58,physoo,physoo##s,plur,5,artificial,0.001651064958423376,singular,singular,es,s,[MASK] physoo##s [MASK],"[CLS] , [MASK] , p , ##hy , ##so , ##o , ##s , [MASK] , [SEP]",nonmorphemic,6.406334769922088
59,physoo,physoo##s,plur,5,artificial,0.0004051649593748152,plural,plural,son,s,[MASK] physoo##s [MASK],"[CLS] , [MASK] , p , ##hy , ##so , ##o , ##s , [MASK] , [SEP]",nonmorphemic,7.811216266686444
60,cheia,cheia,sing,2,default,0.004496645648032427,singular,singular,es,s,[MASK] cheia [MASK],"[CLS] , [MASK] , che , ##ia , [MASK] , [SEP]",nonmorphemic,5.404423571711538
61,cheia,cheia,sing,2,default,0.00036413242924027145,plural,plural,son,s,[MASK] cheia [MASK],"[CLS] , [MASK] , che , ##ia , [MASK] , [SEP]",nonmorphemic,7.917992939898591
62,cheia,cheias,plur,2,default,0.003699383232742548,singular,singular,es,s,[MASK] cheias [MASK],"[CLS] , [MASK] , che , ##ias , [MASK] , [SEP]",nonmorphemic,5.599589167080288
63,cheia,cheias,plur,2,default,0.0065511972643435,plural,plural,son,s,[MASK] cheias [MASK],"[CLS] , [MASK] , che , ##ias , [MASK] , [SEP]",nonmorphemic,5.0281074575893605
64,cheia,cheia##s,plur,3,artificial,0.0029741351027041674,singular,singular,es,s,[MASK] cheia##s [MASK],"[CLS] , [MASK] , che , ##ia , ##s , [MASK] , [SEP]",nonmorphemic,5.8178020040324245
65,cheia,cheia##s,plur,3,artificial,0.005052219144999981,plural,plural,son,s,[MASK] cheia##s [MASK],"[CLS] , [MASK] , che , ##ia , ##s , [MASK] , [SEP]",nonmorphemic,5.287927697564538
66,chroo,chroo,sing,3,default,0.007563991937786341,singular,singular,es,s,[MASK] chroo [MASK],"[CLS] , [MASK] , ch , ##ro , ##o , [MASK] , [SEP]",nonmorphemic,4.884356194052922
67,chroo,chroo,sing,3,default,0.0007375965942628682,plural,plural,son,s,[MASK] chroo [MASK],"[CLS] , [MASK] , ch , ##ro , ##o , [MASK] , [SEP]",nonmorphemic,7.212113503055126
68,chroo,chroos,plur,3,default,0.0026137246750295162,singular,singular,es,s,[MASK] chroos [MASK],"[CLS] , [MASK] , ch , ##ro , ##os , [MASK] , [SEP]",nonmorphemic,5.946978996401028
69,chroo,chroos,plur,3,default,0.005425955168902874,plural,plural,son,s,[MASK] chroos [MASK],"[CLS] , [MASK] , ch , ##ro , ##os , [MASK] , [SEP]",nonmorphemic,5.216561327053236
70,chroo,chroo##s,plur,4,artificial,0.005668350029736757,singular,singular,es,s,[MASK] chroo##s [MASK],"[CLS] , [MASK] , ch , ##ro , ##o , ##s , [MASK] , [SEP]",nonmorphemic,5.172857203637633
71,chroo,chroo##s,plur,4,artificial,0.006193838082253933,plural,plural,son,s,[MASK] chroo##s [MASK],"[CLS] , [MASK] , ch , ##ro , ##o , ##s , [MASK] , [SEP]",nonmorphemic,5.084200338836108
72,knua,knua,sing,3,default,0.002932018833234906,singular,singular,es,s,[MASK] knua [MASK],"[CLS] , [MASK] , k , ##nu , ##a , [MASK] , [SEP]",nonmorphemic,5.832064071637671
73,knua,knua,sing,3,default,0.00020419091742951423,plural,plural,son,s,[MASK] knua [MASK],"[CLS] , [MASK] , k , ##nu , ##a , [MASK] , [SEP]",nonmorphemic,8.496455132020598
74,knua,knuas,plur,3,default,0.0015597256133332849,singular,singular,es,s,[MASK] knuas [MASK],"[CLS] , [MASK] , k , ##nu , ##as , [MASK] , [SEP]",nonmorphemic,6.463245362079876
75,knua,knuas,plur,3,default,0.001533780712634325,plural,plural,son,s,[MASK] knuas [MASK],"[CLS] , [MASK] , k , ##nu , ##as , [MASK] , [SEP]",nonmorphemic,6.480019537602184
76,knua,knua##s,plur,4,artificial,0.002435521222651005,singular,singular,es,s,[MASK] knua##s [MASK],"[CLS] , [MASK] , k , ##nu , ##a , ##s , [MASK] , [SEP]",nonmorphemic,6.017594490877176
77,knua,knua##s,plur,4,artificial,0.0005004284903407097,plural,plural,son,s,[MASK] knua##s [MASK],"[CLS] , [MASK] , k , ##nu , ##a , ##s , [MASK] , [SEP]",nonmorphemic,7.600045845858949
78,schraa,schraa,sing,4,default,0.002915941644459963,singular,singular,es,s,[MASK] schraa [MASK],"[CLS] , [MASK] , s , ##ch , ##ra , ##a , [MASK] , [SEP]",nonmorphemic,5.837562477223913
79,schraa,schraa,sing,4,default,0.00012878737470600754,plural,plural,son,s,[MASK] schraa [MASK],"[CLS] , [MASK] , s , ##ch , ##ra , ##a , [MASK] , [SEP]",nonmorphemic,8.957347771567422
80,schraa,schraas,plur,4,default,0.003020830685272813,singular,singular,es,s,[MASK] schraas [MASK],"[CLS] , [MASK] , s , ##ch , ##ra , ##as , [MASK] , [SEP]",nonmorphemic,5.802223424069182
81,schraa,schraas,plur,4,default,0.0029500583186745644,plural,plural,son,s,[MASK] schraas [MASK],"[CLS] , [MASK] , s , ##ch , ##ra , ##as , [MASK] , [SEP]",nonmorphemic,5.825930339783588
82,schraa,schraa##s,plur,5,artificial,0.0034028447698801756,singular,singular,es,s,[MASK] schraa##s [MASK],"[CLS] , [MASK] , s , ##ch , ##ra , ##a , ##s , [MASK] , [SEP]",nonmorphemic,5.683143500172271
83,schraa,schraa##s,plur,5,artificial,0.0011210304219275713,plural,plural,son,s,[MASK] schraa##s [MASK],"[CLS] , [MASK] , s , ##ch , ##ra , ##a , ##s , [MASK] , [SEP]",nonmorphemic,6.793506997055557
84,smoa,smoa,sing,3,default,0.005280801560729742,singular,singular,es,s,[MASK] smoa [MASK],"[CLS] , [MASK] , s , ##mo , ##a , [MASK] , [SEP]",nonmorphemic,5.243677382041782
85,smoa,smoa,sing,3,default,0.000252742349402979,plural,plural,son,s,[MASK] smoa [MASK],"[CLS] , [MASK] , s , ##mo , ##a , [MASK] , [SEP]",nonmorphemic,8.283139969946237
86,smoa,smoas,plur,3,default,0.0033040503039956093,singular,singular,es,s,[MASK] smoas [MASK],"[CLS] , [MASK] , s , ##mo , ##as , [MASK] , [SEP]",nonmorphemic,5.712606198259038
87,smoa,smoas,plur,3,default,0.00411344924941659,plural,plural,son,s,[MASK] smoas [MASK],"[CLS] , [MASK] , s , ##mo , ##as , [MASK] , [SEP]",nonmorphemic,5.4934933689987755
88,smoa,smoa##s,plur,4,artificial,0.007452989462763071,singular,singular,es,s,[MASK] smoa##s [MASK],"[CLS] , [MASK] , s , ##mo , ##a , ##s , [MASK] , [SEP]",nonmorphemic,4.899140056908473
89,smoa,smoa##s,plur,4,artificial,0.0016527578700333834,plural,plural,son,s,[MASK] smoa##s [MASK],"[CLS] , [MASK] , s , ##mo , ##a , ##s , [MASK] , [SEP]",nonmorphemic,6.4053099499810235
90,shreia,shreia,sing,3,default,0.004587812349200249,singular,singular,es,s,[MASK] shreia [MASK],"[CLS] , [MASK] , sh , ##re , ##ia , [MASK] , [SEP]",nonmorphemic,5.384351980900137
