,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,reserva,reserva,sing,1,default,0.020460743457078934,singular,definite,La,s,[MASK] reserva,"[CLS] , [MASK] , reserva , [SEP]",single-token,3.889247182018201
1,reserva,reserva,sing,1,default,6.493130786111578e-05,plural,definite,Las,s,[MASK] reserva,"[CLS] , [MASK] , reserva , [SEP]",single-token,9.642180649014431
2,reserva,reservas,plur,1,default,0.0002312434371560812,singular,definite,La,s,[MASK] reservas,"[CLS] , [MASK] , reservas , [SEP]",single-token,8.372039561840051
3,reserva,reservas,plur,1,default,0.01026959903538227,plural,definite,Las,s,[MASK] reservas,"[CLS] , [MASK] , reservas , [SEP]",single-token,4.578567298122997
4,reserva,reserva##s,plur,2,artificial,0.0002446707512717694,singular,definite,La,s,[MASK] reserva##s,"[CLS] , [MASK] , reserva , ##s , [SEP]",single-token,8.315597123585956
5,reserva,reserva##s,plur,2,artificial,0.04960987716913223,plural,definite,Las,s,[MASK] reserva##s,"[CLS] , [MASK] , reserva , ##s , [SEP]",single-token,3.003565328601851
6,reserva,reserva,sing,1,default,0.005777936894446611,singular,indefinite,Una,s,[MASK] reserva,"[CLS] , [MASK] , reserva , [SEP]",single-token,5.15370859869268
7,reserva,reserva,sing,1,default,3.2249399737338535e-06,plural,indefinite,Unas,s,[MASK] reserva,"[CLS] , [MASK] , reserva , [SEP]",single-token,12.644596220685463
8,reserva,reservas,plur,1,default,1.2569046702992637e-05,singular,indefinite,Una,s,[MASK] reservas,"[CLS] , [MASK] , reservas , [SEP]",single-token,11.284273377299888
9,reserva,reservas,plur,1,default,3.803418803727254e-05,plural,indefinite,Unas,s,[MASK] reservas,"[CLS] , [MASK] , reservas , [SEP]",single-token,10.177025117520646
10,reserva,reserva##s,plur,2,artificial,2.421926546958275e-05,singular,indefinite,Una,s,[MASK] reserva##s,"[CLS] , [MASK] , reserva , ##s , [SEP]",single-token,10.628362147731801
11,reserva,reserva##s,plur,2,artificial,0.00022552984592039138,plural,indefinite,Unas,s,[MASK] reserva##s,"[CLS] , [MASK] , reserva , ##s , [SEP]",single-token,8.39705805336546
12,dólar,dólar,sing,1,default,0.011966174468398094,singular,definite,El,es,[MASK] dólar,"[CLS] , [MASK] , dólar , [SEP]",single-token,4.425671403776439
13,dólar,dólar,sing,1,default,5.496557605511043e-06,plural,definite,Los,es,[MASK] dólar,"[CLS] , [MASK] , dólar , [SEP]",single-token,12.111388551583786
14,dólar,dólares,plur,1,default,6.40124490018934e-05,singular,definite,El,es,[MASK] dólares,"[CLS] , [MASK] , dólares , [SEP]",single-token,9.656432977865736
15,dólar,dólares,plur,1,default,0.0024064104072749615,plural,definite,Los,es,[MASK] dólares,"[CLS] , [MASK] , dólares , [SEP]",single-token,6.029619099386423
16,dólar,dólar##es,plur,2,artificial,0.0004063965461682528,singular,definite,El,es,[MASK] dólar##es,"[CLS] , [MASK] , dólar , ##es , [SEP]",single-token,7.808181160337855
17,dólar,dólar##es,plur,2,artificial,0.022780807688832283,plural,definite,Los,es,[MASK] dólar##es,"[CLS] , [MASK] , dólar , ##es , [SEP]",single-token,3.781836865541069
18,dólar,dólar,sing,1,default,0.0069234031252563,singular,indefinite,Un,es,[MASK] dólar,"[CLS] , [MASK] , dólar , [SEP]",single-token,4.972847849130854
19,dólar,dólar,sing,1,default,8.091263907772372e-07,plural,indefinite,Unos,es,[MASK] dólar,"[CLS] , [MASK] , dólar , [SEP]",single-token,14.02731070121648
