,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,neia,neia,sing,2,default,0.012577731162309647,singular,definite,La,s,[MASK] neia,"[CLS] , [MASK] , ne , ##ia , [SEP]",nonmorphemic,4.375827396732936
1,neia,neia,sing,2,default,6.589334952877834e-05,plural,definite,Las,s,[MASK] neia,"[CLS] , [MASK] , ne , ##ia , [SEP]",nonmorphemic,9.627473039169304
2,neia,neias,plur,2,default,0.00026397817418910563,singular,definite,La,s,[MASK] neias,"[CLS] , [MASK] , ne , ##ias , [SEP]",nonmorphemic,8.239644131761718
3,neia,neias,plur,2,default,0.014295561239123344,plural,definite,Las,s,[MASK] neias,"[CLS] , [MASK] , ne , ##ias , [SEP]",nonmorphemic,4.247806192759722
4,neia,neia##s,plur,3,artificial,0.0006536318687722087,singular,definite,La,s,[MASK] neia##s,"[CLS] , [MASK] , ne , ##ia , ##s , [SEP]",nonmorphemic,7.332966256775745
5,neia,neia##s,plur,3,artificial,0.006263404618948698,plural,definite,Las,s,[MASK] neia##s,"[CLS] , [MASK] , ne , ##ia , ##s , [SEP]",nonmorphemic,5.073031372871541
6,neia,neia,sing,2,default,0.0011151772923767567,singular,indefinite,Una,s,[MASK] neia,"[CLS] , [MASK] , ne , ##ia , [SEP]",nonmorphemic,6.798741880094342
7,neia,neia,sing,2,default,2.3850166144256946e-06,plural,indefinite,Unas,s,[MASK] neia,"[CLS] , [MASK] , ne , ##ia , [SEP]",nonmorphemic,12.94630446743201
8,neia,neias,plur,2,default,1.7196120097651146e-05,singular,indefinite,Una,s,[MASK] neias,"[CLS] , [MASK] , ne , ##ias , [SEP]",nonmorphemic,10.970826775308852
9,neia,neias,plur,2,default,8.699826139491051e-05,plural,indefinite,Unas,s,[MASK] neias,"[CLS] , [MASK] , ne , ##ias , [SEP]",nonmorphemic,9.349622423475918
10,neia,neia##s,plur,3,artificial,5.578368291025981e-05,singular,indefinite,Una,s,[MASK] neia##s,"[CLS] , [MASK] , ne , ##ia , ##s , [SEP]",nonmorphemic,9.794029152303441
11,neia,neia##s,plur,3,artificial,6.952833064133301e-05,plural,indefinite,Unas,s,[MASK] neia##s,"[CLS] , [MASK] , ne , ##ia , ##s , [SEP]",nonmorphemic,9.573776253327061
12,mcco,mcco,sing,3,default,0.0003177061735186726,singular,definite,El,s,[MASK] mcco,"[CLS] , [MASK] , m , ##c , ##co , [SEP]",nonmorphemic,8.054383584964876
13,mcco,mcco,sing,3,default,7.063813882268732e-06,plural,definite,Los,s,[MASK] mcco,"[CLS] , [MASK] , m , ##c , ##co , [SEP]",nonmorphemic,11.860525442366914
14,mcco,mccos,plur,3,default,0.00020075589418411255,singular,definite,El,s,[MASK] mccos,"[CLS] , [MASK] , m , ##c , ##cos , [SEP]",nonmorphemic,8.513420844750927
15,mcco,mccos,plur,3,default,0.003085656324401498,plural,definite,Los,s,[MASK] mccos,"[CLS] , [MASK] , m , ##c , ##cos , [SEP]",nonmorphemic,5.780990897282522
