,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,patrono,patrono,sing,2,default,0.004281201399862766,singular,singular,es,s,[MASK] patrono [MASK],"[CLS] , [MASK] , patr , ##ono , [MASK] , [SEP]",non_morphemic,5.453521607875044
1,patrono,patrono,sing,2,default,0.0003648163110483438,plural,plural,son,s,[MASK] patrono [MASK],"[CLS] , [MASK] , patr , ##ono , [MASK] , [SEP]",non_morphemic,7.916116588460089
2,patrono,patronos,plur,2,default,0.000248010823270306,singular,singular,es,s,[MASK] patronos [MASK],"[CLS] , [MASK] , patr , ##onos , [MASK] , [SEP]",non_morphemic,8.30203817053261
3,patrono,patronos,plur,2,default,0.005918608047068119,plural,plural,son,s,[MASK] patronos [MASK],"[CLS] , [MASK] , patr , ##onos , [MASK] , [SEP]",non_morphemic,5.129653984917392
4,patrono,patrono##s,plur,3,artificial,0.0013887871755287051,singular,singular,es,s,[MASK] patrono##s [MASK],"[CLS] , [MASK] , patr , ##ono , ##s , [MASK] , [SEP]",non_morphemic,6.579324448311146
5,patrono,patrono##s,plur,3,artificial,0.0142483776435256,plural,plural,son,s,[MASK] patrono##s [MASK],"[CLS] , [MASK] , patr , ##ono , ##s , [MASK] , [SEP]",non_morphemic,4.251112228325983
6,premisa,premisa,sing,2,default,0.02522876486182213,singular,singular,es,s,[MASK] premisa [MASK],"[CLS] , [MASK] , premis , ##a , [MASK] , [SEP]",non_morphemic,3.6797704726673413
7,premisa,premisa,sing,2,default,0.0005001258105039597,plural,plural,son,s,[MASK] premisa [MASK],"[CLS] , [MASK] , premis , ##a , [MASK] , [SEP]",non_morphemic,7.60065087018542
8,premisa,premisas,plur,2,default,0.0005832883762195706,singular,singular,es,s,[MASK] premisas [MASK],"[CLS] , [MASK] , premis , ##as , [MASK] , [SEP]",non_morphemic,7.446828852022697
9,premisa,premisas,plur,2,default,0.0031807313207536936,plural,plural,son,s,[MASK] premisas [MASK],"[CLS] , [MASK] , premis , ##as , [MASK] , [SEP]",non_morphemic,5.750644133550488
10,premisa,premisa##s,plur,3,artificial,0.002852771896868944,singular,singular,es,s,[MASK] premisa##s [MASK],"[CLS] , [MASK] , premis , ##a , ##s , [MASK] , [SEP]",non_morphemic,5.859464161973415
11,premisa,premisa##s,plur,3,artificial,0.00536378426477313,plural,plural,son,s,[MASK] premisa##s [MASK],"[CLS] , [MASK] , premis , ##a , ##s , [MASK] , [SEP]",non_morphemic,5.228085533466755
12,kilo,kilo,sing,2,default,0.005202258937060833,singular,singular,es,s,[MASK] kilo [MASK],"[CLS] , [MASK] , k , ##ilo , [MASK] , [SEP]",non_morphemic,5.258662336750648
13,kilo,kilo,sing,2,default,0.0003990827244706452,plural,plural,son,s,[MASK] kilo [MASK],"[CLS] , [MASK] , k , ##ilo , [MASK] , [SEP]",non_morphemic,7.826341833063838
14,kilo,kilos,plur,2,default,0.0020813855808228254,singular,singular,es,s,[MASK] kilos [MASK],"[CLS] , [MASK] , k , ##ilos , [MASK] , [SEP]",non_morphemic,6.1747214624183995
15,kilo,kilos,plur,2,default,0.0017603316809982061,plural,plural,son,s,[MASK] kilos [MASK],"[CLS] , [MASK] , k , ##ilos , [MASK] , [SEP]",non_morphemic,6.342253032574893
16,kilo,kilo##s,plur,3,artificial,0.002625826047733426,singular,singular,es,s,[MASK] kilo##s [MASK],"[CLS] , [MASK] , k , ##ilo , ##s , [MASK] , [SEP]",non_morphemic,5.942359747590614
17,kilo,kilo##s,plur,3,artificial,0.0022885885555297136,plural,plural,son,s,[MASK] kilo##s [MASK],"[CLS] , [MASK] , k , ##ilo , ##s , [MASK] , [SEP]",non_morphemic,6.079820002735603
18,bebedor,bebedor,sing,2,default,0.004577155224978924,singular,singular,es,es,[MASK] bebedor [MASK],"[CLS] , [MASK] , bebe , ##dor , [MASK] , [SEP]",non_morphemic,5.3866776037544115
