,lemma,word_form,word_number,n_tokens,tokenization_type,article_probs,article_number,article_type,article,affix,sentence,model_token_inputs,source,surprisal
0,patrono,patrono,sing,2,default,0.03667966648936272,singular,definite,El,s,[MASK] patrono,"[CLS] , [MASK] , patr , ##ono , [SEP]",nonmorphemic,3.3055327240735215
1,patrono,patrono,sing,2,default,1.1538780199771281e-05,plural,definite,Los,s,[MASK] patrono,"[CLS] , [MASK] , patr , ##ono , [SEP]",nonmorphemic,11.369797004397395
2,patrono,patyonos,plur,3,default,0.0009642380755394697,singular,definite,El,s,[MASK] patyonos,"[CLS] , [MASK] , pa , ##ty , ##onos , [SEP]",nonmorphemic,6.9441723275176415
3,patrono,patyonos,plur,3,default,0.10183423012495041,plural,definite,Los,s,[MASK] patyonos,"[CLS] , [MASK] , pa , ##ty , ##onos , [SEP]",nonmorphemic,2.2844089826130487
4,patrono,patrono##s,plur,3,artificial,2.021411455643829e-05,singular,definite,El,s,[MASK] patrono##s,"[CLS] , [MASK] , patr , ##ono , ##s , [SEP]",nonmorphemic,10.809129457144806
5,patrono,patrono##s,plur,3,artificial,0.015555229038000107,plural,definite,Los,s,[MASK] patrono##s,"[CLS] , [MASK] , patr , ##ono , ##s , [SEP]",nonmorphemic,4.163358424343633
6,patrono,patrono,sing,2,default,0.0014747998211532831,singular,indefinite,Un,s,[MASK] patrono,"[CLS] , [MASK] , patr , ##ono , [SEP]",nonmorphemic,6.519233012872746
7,patrono,patrono,sing,2,default,2.794745057599357e-08,plural,indefinite,Unos,s,[MASK] patrono,"[CLS] , [MASK] , patr , ##ono , [SEP]",nonmorphemic,17.392939855244578
8,patrono,patyonos,plur,3,default,0.00018954499682877213,singular,indefinite,Un,s,[MASK] patyonos,"[CLS] , [MASK] , pa , ##ty , ##onos , [SEP]",nonmorphemic,8.570884111344892
9,patrono,patyonos,plur,3,default,0.00027776596834883094,plural,indefinite,Unos,s,[MASK] patyonos,"[CLS] , [MASK] , pa , ##ty , ##onos , [SEP]",nonmorphemic,8.188731639292154
10,patrono,patrono##s,plur,3,artificial,6.718650183756836e-06,singular,indefinite,Un,s,[MASK] patrono##s,"[CLS] , [MASK] , patr , ##ono , ##s , [SEP]",nonmorphemic,11.91062328911777
11,patrono,patrono##s,plur,3,artificial,3.9912189095048234e-05,plural,indefinite,Unos,s,[MASK] patrono##s,"[CLS] , [MASK] , patr , ##ono , ##s , [SEP]",nonmorphemic,10.128828789617398
12,premisa,premisa,sing,2,default,0.013308468274772167,singular,definite,La,s,[MASK] premisa,"[CLS] , [MASK] , premis , ##a , [SEP]",nonmorphemic,4.319354733980877
13,premisa,premisa,sing,2,default,1.022441665554652e-05,plural,definite,Las,s,[MASK] premisa,"[CLS] , [MASK] , premis , ##a , [SEP]",nonmorphemic,11.490731908465165
14,premisa,pkemisas,plur,4,default,0.00018590733816381544,singular,definite,La,s,[MASK] pkemisas,"[CLS] , [MASK] , p , ##k , ##emi , ##sas , [SEP]",nonmorphemic,8.590262190299883
15,premisa,pkemisas,plur,4,default,0.0024540380109101534,plural,definite,Las,s,[MASK] pkemisas,"[CLS] , [MASK] , p , ##k , ##emi , ##sas , [SEP]",nonmorphemic,6.010020443444936
16,premisa,premisa##s,plur,3,artificial,0.0002869935124181211,singular,definite,La,s,[MASK] premisa##s,"[CLS] , [MASK] , premis , ##a , ##s , [SEP]",nonmorphemic,8.156050947275055
17,premisa,premisa##s,plur,3,artificial,0.011762738227844238,plural,definite,Las,s,[MASK] premisa##s,"[CLS] , [MASK] , premis , ##a , ##s , [SEP]",nonmorphemic,4.442818521111503
18,premisa,premisa,sing,2,default,0.0011327073443681002,singular,indefinite,Una,s,[MASK] premisa,"[CLS] , [MASK] , premis , ##a , [SEP]",nonmorphemic,6.78314463183045
19,premisa,premisa,sing,2,default,3.211089847354742e-07,plural,indefinite,Unas,s,[MASK] premisa,"[CLS] , [MASK] , premis , ##a , [SEP]",nonmorphemic,14.951485255129127
20,premisa,pkemisas,plur,4,default,4.139110023970716e-05,singular,indefinite,Una,s,[MASK] pkemisas,"[CLS] , [MASK] , p , ##k , ##emi , ##sas , [SEP]",nonmorphemic,10.092444670297763
21,premisa,pkemisas,plur,4,default,2.64569025603123e-05,plural,indefinite,Unas,s,[MASK] pkemisas,"[CLS] , [MASK] , p , ##k , ##emi , ##sas , [SEP]",nonmorphemic,10.53999346734235
22,premisa,premisa##s,plur,3,artificial,5.365675315260887e-05,singular,indefinite,Una,s,[MASK] premisa##s,"[CLS] , [MASK] , premis , ##a , ##s , [SEP]",nonmorphemic,9.832903222575906
23,premisa,premisa##s,plur,3,artificial,0.0004024670924991369,plural,indefinite,Unas,s,[MASK] premisa##s,"[CLS] , [MASK] , premis , ##a , ##s , [SEP]",nonmorphemic,7.817897222214124
24,kilo,kilo,sing,2,default,0.010011492297053337,singular,definite,El,s,[MASK] kilo,"[CLS] , [MASK] , k , ##ilo , [SEP]",nonmorphemic,4.6040216161417105
25,kilo,kilo,sing,2,default,0.0008647285285405815,plural,definite,Los,s,[MASK] kilo,"[CLS] , [MASK] , k , ##ilo , [SEP]",nonmorphemic,7.053094940127901
26,kilo,kdlos,plur,3,default,0.0006319507956504822,singular,definite,El,s,[MASK] kdlos,"[CLS] , [MASK] , k , ##d , ##los , [SEP]",nonmorphemic,7.366699021831687
27,kilo,kdlos,plur,3,default,0.002788818906992674,plural,definite,Los,s,[MASK] kdlos,"[CLS] , [MASK] , k , ##d , ##los , [SEP]",nonmorphemic,5.882137103605652
28,kilo,kilo##s,plur,3,artificial,0.00019705790327861905,singular,definite,El,s,[MASK] kilo##s,"[CLS] , [MASK] , k , ##ilo , ##s , [SEP]",nonmorphemic,8.532012947141679
29,kilo,kilo##s,plur,3,artificial,0.023765314370393753,plural,definite,Los,s,[MASK] kilo##s,"[CLS] , [MASK] , k , ##ilo , ##s , [SEP]",nonmorphemic,3.739528140710211
30,kilo,kilo,sing,2,default,0.002247455297037959,singular,indefinite,Un,s,[MASK] kilo,"[CLS] , [MASK] , k , ##ilo , [SEP]",nonmorphemic,6.0979566818995306
31,kilo,kilo,sing,2,default,8.059897481871303e-06,plural,indefinite,Unos,s,[MASK] kilo,"[CLS] , [MASK] , k , ##ilo , [SEP]",nonmorphemic,11.728609720897435
32,kilo,kdlos,plur,3,default,7.087965786922723e-05,singular,indefinite,Un,s,[MASK] kdlos,"[CLS] , [MASK] , k , ##d , ##los , [SEP]",nonmorphemic,9.55452707858052
33,kilo,kdlos,plur,3,default,8.953532233135775e-05,plural,indefinite,Unos,s,[MASK] kdlos,"[CLS] , [MASK] , k , ##d , ##los , [SEP]",nonmorphemic,9.320877347622192
34,kilo,kilo##s,plur,3,artificial,5.8408884797245264e-05,singular,indefinite,Un,s,[MASK] kilo##s,"[CLS] , [MASK] , k , ##ilo , ##s , [SEP]",nonmorphemic,9.748042542762612
35,kilo,kilo##s,plur,3,artificial,0.0001417992461938411,plural,indefinite,Unos,s,[MASK] kilo##s,"[CLS] , [MASK] , k , ##ilo , ##s , [SEP]",nonmorphemic,8.861098259861752
36,bebedore,bebedore,sing,2,default,0.059109851717948914,singular,definite,El,s,[MASK] bebedore,"[CLS] , [MASK] , bebe , ##dore , [SEP]",nonmorphemic,2.8283576727270985
37,bebedore,bebedore,sing,2,default,0.0010262910509482026,plural,definite,Los,s,[MASK] bebedore,"[CLS] , [MASK] , bebe , ##dore , [SEP]",nonmorphemic,6.881803897073703
38,bebedore,bebxdores,plur,3,default,0.00011379540956113487,singular,definite,El,s,[MASK] bebxdores,"[CLS] , [MASK] , beb , ##x , ##dores , [SEP]",nonmorphemic,9.08110837486125
39,bebedore,bebxdores,plur,3,default,0.009375815279781818,plural,definite,Los,s,[MASK] bebxdores,"[CLS] , [MASK] , beb , ##x , ##dores , [SEP]",nonmorphemic,4.669621747730013
40,bebedore,bebedore##s,plur,3,artificial,0.00112686597276479,singular,definite,El,s,[MASK] bebedore##s,"[CLS] , [MASK] , bebe , ##dore , ##s , [SEP]",nonmorphemic,6.7883149748964255
41,bebedore,bebedore##s,plur,3,artificial,0.09875452518463135,plural,definite,Los,s,[MASK] bebedore##s,"[CLS] , [MASK] , bebe , ##dore , ##s , [SEP]",nonmorphemic,2.3151180515963286
