,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,remedio,remedio,sing,1,default,0.13663381338119507,singular,es,s,El remedio [MASK],"[CLS] , El , remedio , [MASK] , [SEP]",morphemic,1.9904508267438696
1,remedio,remedio,sing,1,default,0.0010668471222743392,plural,son,s,El remedio [MASK],"[CLS] , El , remedio , [MASK] , [SEP]",morphemic,6.84304759502121
2,remedio,reoedios,plur,3,default,0.0001016719252220355,singular,es,s,Los reoedios [MASK],"[CLS] , Los , re , ##oe , ##dios , [MASK] , [SEP]",morphemic,9.193759347867156
3,remedio,reoedios,plur,3,default,0.021622352302074432,plural,son,s,Los reoedios [MASK],"[CLS] , Los , re , ##oe , ##dios , [MASK] , [SEP]",morphemic,3.8340276705584952
4,remedio,remedio##s,plur,2,artificial,0.018305344507098198,singular,es,s,El remedio##s [MASK],"[CLS] , El , remedio , ##s , [MASK] , [SEP]",morphemic,4.000562212204728
5,remedio,remedio##s,plur,2,artificial,0.031044235453009605,plural,son,s,El remedio##s [MASK],"[CLS] , El , remedio , ##s , [MASK] , [SEP]",morphemic,3.47234214152572
6,cierre,cierre,sing,1,default,0.05025872215628624,singular,es,s,El cierre [MASK],"[CLS] , El , cierre , [MASK] , [SEP]",morphemic,2.9905711718559154
7,cierre,cierre,sing,1,default,0.0007966100238263607,plural,son,s,El cierre [MASK],"[CLS] , El , cierre , [MASK] , [SEP]",morphemic,7.1351453040340855
8,cierre,cierrss,plur,3,default,0.0008030298049561679,singular,es,s,Los cierrss [MASK],"[CLS] , Los , cier , ##rs , ##s , [MASK] , [SEP]",morphemic,7.127118727699895
9,cierre,cierrss,plur,3,default,0.029396574944257736,plural,son,s,Los cierrss [MASK],"[CLS] , Los , cier , ##rs , ##s , [MASK] , [SEP]",morphemic,3.5268771099186127
10,cierre,cierre##s,plur,2,artificial,0.00862222258001566,singular,es,s,El cierre##s [MASK],"[CLS] , El , cierre , ##s , [MASK] , [SEP]",morphemic,4.7534123876325225
11,cierre,cierre##s,plur,2,artificial,0.045126985758543015,plural,son,s,El cierre##s [MASK],"[CLS] , El , cierre , ##s , [MASK] , [SEP]",morphemic,3.0982748575678305
12,gestore,gestore,sing,2,default,0.036730460822582245,singular,es,s,El gestore [MASK],"[CLS] , El , gestor , ##e , [MASK] , [SEP]",morphemic,3.3041488730113975
13,gestore,gestore,sing,2,default,0.00044580819667316973,plural,son,s,El gestore [MASK],"[CLS] , El , gestor , ##e , [MASK] , [SEP]",morphemic,7.715621750745532
14,gestore,gestobes,plur,2,default,0.0002852668985724449,singular,es,s,Los gestobes [MASK],"[CLS] , Los , gesto , ##bes , [MASK] , [SEP]",morphemic,8.162085329706162
15,gestore,gestobes,plur,2,default,0.0424339696764946,plural,son,s,Los gestobes [MASK],"[CLS] , Los , gesto , ##bes , [MASK] , [SEP]",morphemic,3.1598060658954505
16,gestore,gestore##s,plur,3,artificial,0.08835900574922562,singular,es,s,El gestore##s [MASK],"[CLS] , El , gestor , ##e , ##s , [MASK] , [SEP]",morphemic,2.4263471527657594
17,gestore,gestore##s,plur,3,artificial,0.006443969905376434,plural,son,s,El gestore##s [MASK],"[CLS] , El , gestor , ##e , ##s , [MASK] , [SEP]",morphemic,5.044610483855776
18,monopolio,monopolio,sing,1,default,0.010453070513904095,singular,es,s,El monopolio [MASK],"[CLS] , El , monopolio , [MASK] , [SEP]",morphemic,4.560859514648896
19,monopolio,monopolio,sing,1,default,0.0005856319330632687,plural,son,s,El monopolio [MASK],"[CLS] , El , monopolio , [MASK] , [SEP]",morphemic,7.44281906629969
20,monopolio,mynopolios,plur,4,default,5.996397158014588e-05,singular,es,s,Los mynopolios [MASK],"[CLS] , Los , my , ##no , ##poli , ##os , [MASK] , [SEP]",morphemic,9.721766649762923
21,monopolio,mynopolios,plur,4,default,0.021273676306009293,plural,son,s,Los mynopolios [MASK],"[CLS] , Los , my , ##no , ##poli , ##os , [MASK] , [SEP]",morphemic,3.8502848247422716
22,monopolio,monopolio##s,plur,2,artificial,0.0008839732618071139,singular,es,s,El monopolio##s [MASK],"[CLS] , El , monopolio , ##s , [MASK] , [SEP]",morphemic,7.031083742608607
23,monopolio,monopolio##s,plur,2,artificial,0.005320832133293152,plural,son,s,El monopolio##s [MASK],"[CLS] , El , monopolio , ##s , [MASK] , [SEP]",morphemic,5.236125571827749
24,retorno,retorno,sing,1,default,0.009621644392609596,singular,es,s,El retorno [MASK],"[CLS] , El , retorno , [MASK] , [SEP]",morphemic,4.643740094129505
25,retorno,retorno,sing,1,default,0.0006596212042495608,plural,son,s,El retorno [MASK],"[CLS] , El , retorno , [MASK] , [SEP]",morphemic,7.323844820661577
26,retorno,retoknos,plur,3,default,0.004242305643856525,singular,es,s,Los retoknos [MASK],"[CLS] , Los , reto , ##k , ##nos , [MASK] , [SEP]",morphemic,5.462648373606748
