,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,spaio,spaio,sing,2,default,0.00011211325909243897,singular,singular,grande,s,El spaio [MASK],"[CLS] , El , spa , ##io , [MASK] , [SEP]",nonmorphemic,9.096000955733048
1,spaio,spaio,sing,2,default,1.200523684019572e-06,plural,plural,grandes,s,El spaio [MASK],"[CLS] , El , spa , ##io , [MASK] , [SEP]",nonmorphemic,13.632752693016922
2,spaio,spaios,plur,2,default,4.1165060338244075e-07,singular,singular,grande,s,Los spaios [MASK],"[CLS] , Los , spa , ##ios , [MASK] , [SEP]",nonmorphemic,14.703090897437374
3,spaio,spaios,plur,2,default,2.9630409699166194e-05,plural,plural,grandes,s,Los spaios [MASK],"[CLS] , Los , spa , ##ios , [MASK] , [SEP]",nonmorphemic,10.426709369300376
4,spaio,spaio##s,plur,3,artificial,6.165176387185056e-07,singular,singular,grande,s,Los spaio##s [MASK],"[CLS] , Los , spa , ##io , ##s , [MASK] , [SEP]",nonmorphemic,14.299178903691276
5,spaio,spaio##s,plur,3,artificial,6.380328704835847e-05,plural,plural,grandes,s,Los spaio##s [MASK],"[CLS] , Los , spa , ##io , ##s , [MASK] , [SEP]",nonmorphemic,9.659705847806553
6,shrao,shrao,sing,3,default,2.451121690683067e-05,singular,singular,grande,s,El shrao [MASK],"[CLS] , El , sh , ##ra , ##o , [MASK] , [SEP]",nonmorphemic,10.616379712255247
7,shrao,shrao,sing,3,default,2.716121514367842e-07,plural,plural,grandes,s,El shrao [MASK],"[CLS] , El , sh , ##ra , ##o , [MASK] , [SEP]",nonmorphemic,15.118890702068338
8,shrao,shraos,plur,3,default,2.2461017579189502e-07,singular,singular,grande,s,Los shraos [MASK],"[CLS] , Los , sh , ##ra , ##os , [MASK] , [SEP]",nonmorphemic,15.308899489382103
9,shrao,shraos,plur,3,default,9.216822945745662e-06,plural,plural,grandes,s,Los shraos [MASK],"[CLS] , Los , sh , ##ra , ##os , [MASK] , [SEP]",nonmorphemic,11.594480162669024
10,shrao,shrao##s,plur,4,artificial,3.794701228798658e-07,singular,singular,grande,s,Los shrao##s [MASK],"[CLS] , Los , sh , ##ra , ##o , ##s , [MASK] , [SEP]",nonmorphemic,14.784489970799193
11,shrao,shrao##s,plur,4,artificial,1.9475042790872976e-05,plural,plural,grandes,s,Los shrao##s [MASK],"[CLS] , Los , sh , ##ra , ##o , ##s , [MASK] , [SEP]",nonmorphemic,10.846376768989185
12,mceo,mceo,sing,3,default,7.789579103700817e-05,singular,singular,grande,s,El mceo [MASK],"[CLS] , El , m , ##ce , ##o , [MASK] , [SEP]",nonmorphemic,9.460138636880918
13,mceo,mceo,sing,3,default,3.2038016684055037e-07,plural,plural,grandes,s,El mceo [MASK],"[CLS] , El , m , ##ce , ##o , [MASK] , [SEP]",nonmorphemic,14.95375752491489
14,mceo,mceos,plur,3,default,3.589460675357259e-07,singular,singular,grande,s,Los mceos [MASK],"[CLS] , Los , m , ##ce , ##os , [MASK] , [SEP]",nonmorphemic,14.840093689449244
15,mceo,mceos,plur,3,default,5.5867629271233454e-05,plural,plural,grandes,s,Los mceos [MASK],"[CLS] , Los , m , ##ce , ##os , [MASK] , [SEP]",nonmorphemic,9.792525428340836
16,mceo,mceo##s,plur,4,artificial,5.631427484331653e-07,singular,singular,grande,s,Los mceo##s [MASK],"[CLS] , Los , m , ##ce , ##o , ##s , [MASK] , [SEP]",nonmorphemic,14.389732691330133
17,mceo,mceo##s,plur,4,artificial,8.35551691125147e-05,plural,plural,grandes,s,Los mceo##s [MASK],"[CLS] , Los , m , ##ce , ##o , ##s , [MASK] , [SEP]",nonmorphemic,9.39000343634455
18,lia,lia,sing,2,default,0.00023919589875731617,singular,singular,grande,s,La lia [MASK],"[CLS] , La , li , ##a , [MASK] , [SEP]",nonmorphemic,8.33822768169818
19,lia,lia,sing,2,default,1.1594737543418887e-06,plural,plural,grandes,s,La lia [MASK],"[CLS] , La , li , ##a , [MASK] , [SEP]",nonmorphemic,13.66754431583095
20,lia,lias,plur,2,default,1.0448837883814122e-06,singular,singular,grande,s,Las lias [MASK],"[CLS] , Las , li , ##as , [MASK] , [SEP]",nonmorphemic,13.771604886022004
21,lia,lias,plur,2,default,5.025475547881797e-05,plural,plural,grandes,s,Las lias [MASK],"[CLS] , Las , li , ##as , [MASK] , [SEP]",nonmorphemic,9.898405379108443
22,lia,lia##s,plur,3,artificial,9.3723491545461e-07,singular,singular,grande,s,Las lia##s [MASK],"[CLS] , Las , li , ##a , ##s , [MASK] , [SEP]",nonmorphemic,13.880331875933516
23,lia,lia##s,plur,3,artificial,4.548284050542861e-05,plural,plural,grandes,s,Las lia##s [MASK],"[CLS] , Las , li , ##a , ##s , [MASK] , [SEP]",nonmorphemic,9.998175434888253
24,krio,krio,sing,2,default,2.1656354874721728e-05,singular,singular,grande,s,El krio [MASK],"[CLS] , El , k , ##rio , [MASK] , [SEP]",nonmorphemic,10.74021161888583
25,krio,krio,sing,2,default,3.3399749099771725e-07,plural,plural,grandes,s,El krio [MASK],"[CLS] , El , k , ##rio , [MASK] , [SEP]",nonmorphemic,14.912132355980809
26,krio,krios,plur,2,default,9.912158702718443e-07,singular,singular,grande,s,Los krios [MASK],"[CLS] , Los , k , ##rios , [MASK] , [SEP]",nonmorphemic,13.824333495589514
27,krio,krios,plur,2,default,4.4861488277092576e-05,plural,plural,grandes,s,Los krios [MASK],"[CLS] , Los , k , ##rios , [MASK] , [SEP]",nonmorphemic,10.011930853383902
28,krio,krio##s,plur,3,artificial,8.049880761973327e-07,singular,singular,grande,s,Los krio##s [MASK],"[CLS] , Los , k , ##rio , ##s , [MASK] , [SEP]",nonmorphemic,14.032438371814775
29,krio,krio##s,plur,3,artificial,3.250349982408807e-05,plural,plural,grandes,s,Los krio##s [MASK],"[CLS] , Los , k , ##rio , ##s , [MASK] , [SEP]",nonmorphemic,10.334162787531382
30,floa,floa,sing,2,default,1.7080819816328585e-05,singular,singular,grande,s,La floa [MASK],"[CLS] , La , flo , ##a , [MASK] , [SEP]",nonmorphemic,10.977554372141661
31,floa,floa,sing,2,default,2.4899486561480444e-07,plural,plural,grandes,s,La floa [MASK],"[CLS] , La , flo , ##a , [MASK] , [SEP]",nonmorphemic,15.205833560715165
32,floa,floas,plur,2,default,4.871718601862085e-07,singular,singular,grande,s,Las floas [MASK],"[CLS] , Las , flo , ##as , [MASK] , [SEP]",nonmorphemic,14.534648880457283
33,floa,floas,plur,2,default,3.1685587600804865e-05,plural,plural,grandes,s,Las floas [MASK],"[CLS] , Las , flo , ##as , [MASK] , [SEP]",nonmorphemic,10.359648630282486
34,floa,floa##s,plur,3,artificial,3.6114570889367315e-07,singular,singular,grande,s,Las floa##s [MASK],"[CLS] , Las , flo , ##a , ##s , [MASK] , [SEP]",nonmorphemic,14.833984334304242
35,floa,floa##s,plur,3,artificial,1.8458928025211208e-05,plural,plural,grandes,s,Las floa##s [MASK],"[CLS] , Las , flo , ##a , ##s , [MASK] , [SEP]",nonmorphemic,10.899962400715943
36,cea,cea,sing,2,default,1.82179210241884e-05,singular,singular,grande,s,La cea [MASK],"[CLS] , La , ce , ##a , [MASK] , [SEP]",nonmorphemic,10.913104776693954
37,cea,cea,sing,2,default,8.317219624132122e-08,plural,plural,grandes,s,La cea [MASK],"[CLS] , La , ce , ##a , [MASK] , [SEP]",nonmorphemic,16.30235272476157
38,cea,ceas,plur,2,default,1.3111739249893617e-08,singular,singular,grande,s,Las ceas [MASK],"[CLS] , Las , ce , ##as , [MASK] , [SEP]",nonmorphemic,18.14975788207437
39,cea,ceas,plur,2,default,3.2223410926235374e-06,plural,plural,grandes,s,Las ceas [MASK],"[CLS] , Las , ce , ##as , [MASK] , [SEP]",nonmorphemic,12.645402415180268
40,cea,cea##s,plur,3,artificial,2.424561351688226e-08,singular,singular,grande,s,Las cea##s [MASK],"[CLS] , Las , ce , ##a , ##s , [MASK] , [SEP]",nonmorphemic,17.53503012182651
41,cea,cea##s,plur,3,artificial,4.551302026811754e-06,plural,plural,grandes,s,Las cea##s [MASK],"[CLS] , Las , ce , ##a , ##s , [MASK] , [SEP]",nonmorphemic,12.300097206198457
42,thro,thro,sing,2,default,3.6488320347416447e-06,singular,singular,grande,s,El thro [MASK],"[CLS] , El , th , ##ro , [MASK] , [SEP]",nonmorphemic,12.521103432059494
43,thro,thro,sing,2,default,8.435028320263882e-08,plural,plural,grandes,s,El thro [MASK],"[CLS] , El , th , ##ro , [MASK] , [SEP]",nonmorphemic,16.288287670489545
44,thro,thros,plur,2,default,2.279585231690362e-08,singular,singular,grande,s,Los thros [MASK],"[CLS] , Los , th , ##ros , [MASK] , [SEP]",nonmorphemic,17.596687233460006
45,thro,thros,plur,2,default,3.1905865398584865e-06,plural,plural,grandes,s,Los thros [MASK],"[CLS] , Los , th , ##ros , [MASK] , [SEP]",nonmorphemic,12.655305789775028
46,thro,thro##s,plur,3,artificial,2.5153667593258433e-07,singular,singular,grande,s,Los thro##s [MASK],"[CLS] , Los , th , ##ro , ##s , [MASK] , [SEP]",nonmorphemic,15.195677029280807
47,thro,thro##s,plur,3,artificial,2.2771891963202506e-05,plural,plural,grandes,s,Los thro##s [MASK],"[CLS] , Los , th , ##ro , ##s , [MASK] , [SEP]",nonmorphemic,10.689983591169035
48,caio,caio,sing,2,default,5.45898983546067e-05,singular,singular,grande,s,El caio [MASK],"[CLS] , El , ca , ##io , [MASK] , [SEP]",nonmorphemic,9.815661704150603
49,caio,caio,sing,2,default,3.8595720752709894e-07,plural,plural,grandes,s,El caio [MASK],"[CLS] , El , ca , ##io , [MASK] , [SEP]",nonmorphemic,14.767539334955911
50,caio,caios,plur,2,default,3.3102696761488914e-07,singular,singular,grande,s,Los caios [MASK],"[CLS] , Los , ca , ##ios , [MASK] , [SEP]",nonmorphemic,14.921065991731341
51,caio,caios,plur,2,default,1.2663779671129305e-05,plural,plural,grandes,s,Los caios [MASK],"[CLS] , Los , ca , ##ios , [MASK] , [SEP]",nonmorphemic,11.276764633584186
52,caio,caio##s,plur,3,artificial,3.128928085516236e-07,singular,singular,grande,s,Los caio##s [MASK],"[CLS] , Los , ca , ##io , ##s , [MASK] , [SEP]",nonmorphemic,14.97740516975198
53,caio,caio##s,plur,3,artificial,2.2578064090339467e-05,plural,plural,grandes,s,Los caio##s [MASK],"[CLS] , Los , ca , ##io , ##s , [MASK] , [SEP]",nonmorphemic,10.698531738509962
54,physoo,physoo,sing,4,default,8.706235530553386e-05,singular,singular,grande,s,El physoo [MASK],"[CLS] , El , p , ##hy , ##so , ##o , [MASK] , [SEP]",nonmorphemic,9.348885968386476
55,physoo,physoo,sing,4,default,6.843939672762644e-07,plural,plural,grandes,s,El physoo [MASK],"[CLS] , El , p , ##hy , ##so , ##o , [MASK] , [SEP]",nonmorphemic,14.194732109584018
56,physoo,physoos,plur,4,default,2.1067921807116363e-07,singular,singular,grande,s,Los physoos [MASK],"[CLS] , Los , p , ##hy , ##so , ##os , [MASK] , [SEP]",nonmorphemic,15.372929153790722
57,physoo,physoos,plur,4,default,3.5814100556308404e-05,plural,plural,grandes,s,Los physoos [MASK],"[CLS] , Los , p , ##hy , ##so , ##os , [MASK] , [SEP]",nonmorphemic,10.237168871816216
58,physoo,physoo##s,plur,5,artificial,4.8753554438008e-07,singular,singular,grande,s,Los physoo##s [MASK],"[CLS] , Los , p , ##hy , ##so , ##o , ##s , [MASK] , [SEP]",nonmorphemic,14.533902637617546
59,physoo,physoo##s,plur,5,artificial,5.352054722607136e-05,plural,plural,grandes,s,Los physoo##s [MASK],"[CLS] , Los , p , ##hy , ##so , ##o , ##s , [MASK] , [SEP]",nonmorphemic,9.835444917494193
60,cheia,cheia,sing,2,default,9.415543172508478e-05,singular,singular,grande,s,La cheia [MASK],"[CLS] , La , che , ##ia , [MASK] , [SEP]",nonmorphemic,9.27056361227793
61,cheia,cheia,sing,2,default,3.315647916224407e-07,plural,plural,grandes,s,La cheia [MASK],"[CLS] , La , che , ##ia , [MASK] , [SEP]",nonmorphemic,14.919442596576875
62,cheia,cheias,plur,2,default,3.122043494840909e-07,singular,singular,grande,s,Las cheias [MASK],"[CLS] , Las , che , ##ias , [MASK] , [SEP]",nonmorphemic,14.97960789723858
63,cheia,cheias,plur,2,default,1.9839371816487983e-05,plural,plural,grandes,s,Las cheias [MASK],"[CLS] , Las , che , ##ias , [MASK] , [SEP]",nonmorphemic,10.827842119084218
64,cheia,cheia##s,plur,3,artificial,1.4698522932121705e-07,singular,singular,grande,s,Las cheia##s [MASK],"[CLS] , Las , che , ##ia , ##s , [MASK] , [SEP]",nonmorphemic,15.732933736024258
65,cheia,cheia##s,plur,3,artificial,1.0311271580576431e-05,plural,plural,grandes,s,Las cheia##s [MASK],"[CLS] , Las , che , ##ia , ##s , [MASK] , [SEP]",nonmorphemic,11.482272932858017
66,chroo,chroo,sing,3,default,4.79562659165822e-05,singular,singular,grande,s,El chroo [MASK],"[CLS] , El , ch , ##ro , ##o , [MASK] , [SEP]",nonmorphemic,9.945221089122517
67,chroo,chroo,sing,3,default,3.018687664280151e-07,plural,plural,grandes,s,El chroo [MASK],"[CLS] , El , ch , ##ro , ##o , [MASK] , [SEP]",nonmorphemic,15.0132734622666
68,chroo,chroos,plur,3,default,5.19918955887988e-07,singular,singular,grande,s,Los chroos [MASK],"[CLS] , Los , ch , ##ro , ##os , [MASK] , [SEP]",nonmorphemic,14.469592891579007
69,chroo,chroos,plur,3,default,1.1033278497052379e-05,plural,plural,grandes,s,Los chroos [MASK],"[CLS] , Los , ch , ##ro , ##os , [MASK] , [SEP]",nonmorphemic,11.414594534317393
70,chroo,chroo##s,plur,4,artificial,4.2383939558021666e-07,singular,singular,grande,s,Los chroo##s [MASK],"[CLS] , Los , ch , ##ro , ##o , ##s , [MASK] , [SEP]",nonmorphemic,14.67391123748016
71,chroo,chroo##s,plur,4,artificial,1.3880767255614046e-05,plural,plural,grandes,s,Los chroo##s [MASK],"[CLS] , Los , ch , ##ro , ##o , ##s , [MASK] , [SEP]",nonmorphemic,11.185006326631385
72,knua,knua,sing,3,default,9.510217205388471e-05,singular,singular,grande,s,La knua [MASK],"[CLS] , La , k , ##nu , ##a , [MASK] , [SEP]",nonmorphemic,9.260558748990421
73,knua,knua,sing,3,default,5.749257638854033e-07,plural,plural,grandes,s,La knua [MASK],"[CLS] , La , k , ##nu , ##a , [MASK] , [SEP]",nonmorphemic,14.36902491077025
74,knua,knuas,plur,3,default,1.0922861974904663e-06,singular,singular,grande,s,Las knuas [MASK],"[CLS] , Las , k , ##nu , ##as , [MASK] , [SEP]",nonmorphemic,13.727237629366016
75,knua,knuas,plur,3,default,1.879548108263407e-05,plural,plural,grandes,s,Las knuas [MASK],"[CLS] , Las , k , ##nu , ##as , [MASK] , [SEP]",nonmorphemic,10.88189408496637
76,knua,knua##s,plur,4,artificial,1.6205181054829154e-06,singular,singular,grande,s,Las knua##s [MASK],"[CLS] , Las , k , ##nu , ##a , ##s , [MASK] , [SEP]",nonmorphemic,13.33276464165159
77,knua,knua##s,plur,4,artificial,2.945222149719484e-05,plural,plural,grandes,s,Las knua##s [MASK],"[CLS] , Las , k , ##nu , ##a , ##s , [MASK] , [SEP]",nonmorphemic,10.432741217869662
78,schraa,schraa,sing,4,default,8.688172965776175e-05,singular,singular,grande,s,La schraa [MASK],"[CLS] , La , s , ##ch , ##ra , ##a , [MASK] , [SEP]",nonmorphemic,9.350962793393007
79,schraa,schraa,sing,4,default,1.674550844654732e-07,plural,plural,grandes,s,La schraa [MASK],"[CLS] , La , s , ##ch , ##ra , ##a , [MASK] , [SEP]",nonmorphemic,15.602550674085522
80,schraa,schraas,plur,4,default,3.560579386885365e-07,singular,singular,grande,s,Las schraas [MASK],"[CLS] , Las , s , ##ch , ##ra , ##as , [MASK] , [SEP]",nonmorphemic,14.848172370211481
81,schraa,schraas,plur,4,default,1.1324096703901887e-05,plural,plural,grandes,s,Las schraas [MASK],"[CLS] , Las , s , ##ch , ##ra , ##as , [MASK] , [SEP]",nonmorphemic,11.38857765102114
82,schraa,schraa##s,plur,5,artificial,9.600463499737089e-07,singular,singular,grande,s,Las schraa##s [MASK],"[CLS] , Las , s , ##ch , ##ra , ##a , ##s , [MASK] , [SEP]",nonmorphemic,13.856284272427416
83,schraa,schraa##s,plur,5,artificial,4.2683419451350346e-05,plural,plural,grandes,s,Las schraa##s [MASK],"[CLS] , Las , s , ##ch , ##ra , ##a , ##s , [MASK] , [SEP]",nonmorphemic,10.061700016385988
84,smoa,smoa,sing,3,default,5.362443334888667e-05,singular,singular,grande,s,La smoa [MASK],"[CLS] , La , s , ##mo , ##a , [MASK] , [SEP]",nonmorphemic,9.833505747692453
85,smoa,smoa,sing,3,default,1.4761435807031376e-07,plural,plural,grandes,s,La smoa [MASK],"[CLS] , La , s , ##mo , ##a , [MASK] , [SEP]",nonmorphemic,15.728662652611986
86,smoa,smoas,plur,3,default,2.1291556606684026e-07,singular,singular,grande,s,Las smoas [MASK],"[CLS] , Las , s , ##mo , ##as , [MASK] , [SEP]",nonmorphemic,15.362370153267664
87,smoa,smoas,plur,3,default,8.880882887751795e-06,plural,plural,grandes,s,Las smoas [MASK],"[CLS] , Las , s , ##mo , ##as , [MASK] , [SEP]",nonmorphemic,11.63160958160609
