,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,reserva,reserva,sing,1,default,2.9790058761136606e-05,singular,singular,grande,s,[MASK] reserva [MASK],"[CLS] , [MASK] , reserva , [MASK] , [SEP]",single-token,10.42133581872889
1,reserva,reserva,sing,1,default,1.2064926977473078e-06,plural,plural,grandes,s,[MASK] reserva [MASK],"[CLS] , [MASK] , reserva , [MASK] , [SEP]",single-token,13.62779300432624
2,reserva,reservas,plur,1,default,1.117453621191089e-06,singular,singular,grande,s,[MASK] reservas [MASK],"[CLS] , [MASK] , reservas , [MASK] , [SEP]",single-token,13.704458013609784
3,reserva,reservas,plur,1,default,2.6360201445640996e-05,plural,plural,grandes,s,[MASK] reservas [MASK],"[CLS] , [MASK] , reservas , [MASK] , [SEP]",single-token,10.543655206263532
4,reserva,reserva##s,plur,2,artificial,6.230943654372822e-07,singular,singular,grande,s,[MASK] reserva##s [MASK],"[CLS] , [MASK] , reserva , ##s , [MASK] , [SEP]",single-token,14.288567860227552
5,reserva,reserva##s,plur,2,artificial,4.2548399505903944e-05,plural,plural,grandes,s,[MASK] reserva##s [MASK],"[CLS] , [MASK] , reserva , ##s , [MASK] , [SEP]",single-token,10.064868318084672
6,dólar,dólar,sing,1,default,1.7708514860714786e-05,singular,singular,grande,es,[MASK] dólar [MASK],"[CLS] , [MASK] , dólar , [MASK] , [SEP]",single-token,10.941464968482332
7,dólar,dólar,sing,1,default,3.537815587151272e-07,plural,plural,grandes,es,[MASK] dólar [MASK],"[CLS] , [MASK] , dólar , [MASK] , [SEP]",single-token,14.854586180052555
8,dólar,dólares,plur,1,default,9.952676691682427e-07,singular,singular,grande,es,[MASK] dólares [MASK],"[CLS] , [MASK] , dólares , [MASK] , [SEP]",single-token,13.82025412172622
9,dólar,dólares,plur,1,default,2.3614555175299756e-05,plural,plural,grandes,es,[MASK] dólares [MASK],"[CLS] , [MASK] , dólares , [MASK] , [SEP]",single-token,10.653647291325479
10,dólar,dólar##es,plur,2,artificial,2.5756919512787135e-06,singular,singular,grande,es,[MASK] dólar##es [MASK],"[CLS] , [MASK] , dólar , ##es , [MASK] , [SEP]",single-token,12.869392341003854
11,dólar,dólar##es,plur,2,artificial,0.00012721050006803125,plural,plural,grandes,es,[MASK] dólar##es [MASK],"[CLS] , [MASK] , dólar , ##es , [MASK] , [SEP]",single-token,8.969667362760479
12,activo,activo,sing,1,default,6.772072993044276e-06,singular,singular,grande,s,[MASK] activo [MASK],"[CLS] , [MASK] , activo , [MASK] , [SEP]",single-token,11.902703315097565
13,activo,activo,sing,1,default,6.952892590561532e-07,plural,plural,grandes,s,[MASK] activo [MASK],"[CLS] , [MASK] , activo , [MASK] , [SEP]",single-token,14.178937877888053
14,activo,activos,plur,1,default,2.4995247827064304e-07,singular,singular,grande,s,[MASK] activos [MASK],"[CLS] , [MASK] , activos , [MASK] , [SEP]",single-token,15.201995024070401
15,activo,activos,plur,1,default,3.390304482309148e-05,plural,plural,grandes,s,[MASK] activos [MASK],"[CLS] , [MASK] , activos , [MASK] , [SEP]",single-token,10.292005729820938
16,activo,activo##s,plur,2,artificial,2.9963860015413957e-07,singular,singular,grande,s,[MASK] activo##s [MASK],"[CLS] , [MASK] , activo , ##s , [MASK] , [SEP]",single-token,15.020688754636621
17,activo,activo##s,plur,2,artificial,2.8607919375644997e-05,plural,plural,grandes,s,[MASK] activo##s [MASK],"[CLS] , [MASK] , activo , ##s , [MASK] , [SEP]",single-token,10.461826977222213
18,permiso,permiso,sing,1,default,1.7496096916147508e-05,singular,singular,grande,s,[MASK] permiso [MASK],"[CLS] , [MASK] , permiso , [MASK] , [SEP]",single-token,10.953532735273445
19,permiso,permiso,sing,1,default,4.222975746870361e-07,plural,plural,grandes,s,[MASK] permiso [MASK],"[CLS] , [MASK] , permiso , [MASK] , [SEP]",single-token,14.677555618127348
20,permiso,permisos,plur,1,default,1.0412975370854838e-07,singular,singular,grande,s,[MASK] permisos [MASK],"[CLS] , [MASK] , permisos , [MASK] , [SEP]",single-token,16.0776280836379
21,permiso,permisos,plur,1,default,9.867941116681322e-06,plural,plural,grandes,s,[MASK] permisos [MASK],"[CLS] , [MASK] , permisos , [MASK] , [SEP]",single-token,11.526219326412523
22,permiso,permiso##s,plur,2,artificial,1.1929920162856433e-07,singular,singular,grande,s,[MASK] permiso##s [MASK],"[CLS] , [MASK] , permiso , ##s , [MASK] , [SEP]",single-token,15.941631199997671
23,permiso,permiso##s,plur,2,artificial,1.3178359040466603e-05,plural,plural,grandes,s,[MASK] permiso##s [MASK],"[CLS] , [MASK] , permiso , ##s , [MASK] , [SEP]",single-token,11.236934540399373
24,cálculo,cálculo,sing,1,default,2.796923354253522e-06,singular,singular,grande,s,[MASK] cálculo [MASK],"[CLS] , [MASK] , cálculo , [MASK] , [SEP]",single-token,12.786990546960988
