,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,patrono,patrono,sing,2,default,0.09101855754852295,singular,es,s,El patrono [MASK],"[CLS] , El , patr , ##ono , [MASK] , [SEP]",nonmorphemic,2.3966918641513524
1,patrono,patrono,sing,2,default,0.0018395003862679005,plural,son,s,El patrono [MASK],"[CLS] , El , patr , ##ono , [MASK] , [SEP]",nonmorphemic,6.298261273434199
2,patrono,patyonos,plur,3,default,0.00019542529480531812,singular,es,s,Los patyonos [MASK],"[CLS] , Los , pa , ##ty , ##onos , [MASK] , [SEP]",nonmorphemic,8.540332375324704
3,patrono,patyonos,plur,3,default,0.06412065029144287,plural,son,s,Los patyonos [MASK],"[CLS] , Los , pa , ##ty , ##onos , [MASK] , [SEP]",nonmorphemic,2.74698880950427
4,patrono,patrono##s,plur,3,artificial,0.01282034907490015,singular,es,s,El patrono##s [MASK],"[CLS] , El , patr , ##ono , ##s , [MASK] , [SEP]",nonmorphemic,4.356721598928945
5,patrono,patrono##s,plur,3,artificial,0.07454094290733337,plural,son,s,El patrono##s [MASK],"[CLS] , El , patr , ##ono , ##s , [MASK] , [SEP]",nonmorphemic,2.5964067353285336
6,premisa,premisa,sing,2,default,0.11878324300050735,singular,es,s,La premisa [MASK],"[CLS] , La , premis , ##a , [MASK] , [SEP]",nonmorphemic,2.1304549341866688
7,premisa,premisa,sing,2,default,0.00034444555058144033,plural,son,s,La premisa [MASK],"[CLS] , La , premis , ##a , [MASK] , [SEP]",nonmorphemic,7.97357453346694
8,premisa,pkemisas,plur,4,default,0.0024754272308200598,singular,es,s,Las pkemisas [MASK],"[CLS] , Las , p , ##k , ##emi , ##sas , [MASK] , [SEP]",nonmorphemic,6.001342279345189
9,premisa,pkemisas,plur,4,default,0.30492228269577026,plural,son,s,Las pkemisas [MASK],"[CLS] , Las , p , ##k , ##emi , ##sas , [MASK] , [SEP]",nonmorphemic,1.1876983456780619
10,premisa,premisa##s,plur,3,artificial,0.08084769546985626,singular,es,s,La premisa##s [MASK],"[CLS] , La , premis , ##a , ##s , [MASK] , [SEP]",nonmorphemic,2.5151881971394574
11,premisa,premisa##s,plur,3,artificial,0.002242735354229808,plural,son,s,La premisa##s [MASK],"[CLS] , La , premis , ##a , ##s , [MASK] , [SEP]",nonmorphemic,6.100059017819391
12,kilo,kilo,sing,2,default,0.1041424572467804,singular,es,s,El kilo [MASK],"[CLS] , El , k , ##ilo , [MASK] , [SEP]",nonmorphemic,2.261995535916188
13,kilo,kilo,sing,2,default,0.0012378573883324862,plural,son,s,El kilo [MASK],"[CLS] , El , k , ##ilo , [MASK] , [SEP]",nonmorphemic,6.694373306563218
14,kilo,kdlos,plur,3,default,0.010572707280516624,singular,es,s,Los kdlos [MASK],"[CLS] , Los , k , ##d , ##los , [MASK] , [SEP]",nonmorphemic,4.549479383180438
15,kilo,kdlos,plur,3,default,0.1246333196759224,plural,son,s,Los kdlos [MASK],"[CLS] , Los , k , ##d , ##los , [MASK] , [SEP]",nonmorphemic,2.082379295247909
16,kilo,kilo##s,plur,3,artificial,0.03885582461953163,singular,es,s,El kilo##s [MASK],"[CLS] , El , k , ##ilo , ##s , [MASK] , [SEP]",nonmorphemic,3.2478972875495686
17,kilo,kilo##s,plur,3,artificial,0.005051862448453903,plural,son,s,El kilo##s [MASK],"[CLS] , El , k , ##ilo , ##s , [MASK] , [SEP]",nonmorphemic,5.28799830201145
18,bebedore,bebedore,sing,2,default,0.005650378298014402,singular,es,s,El bebedore [MASK],"[CLS] , El , bebe , ##dore , [MASK] , [SEP]",nonmorphemic,5.176032780664421
19,bebedore,bebedore,sing,2,default,0.00023283515474759042,plural,son,s,El bebedore [MASK],"[CLS] , El , bebe , ##dore , [MASK] , [SEP]",nonmorphemic,8.365179845141668
20,bebedore,bebxdores,plur,3,default,0.00024966130149550736,singular,es,s,Los bebxdores [MASK],"[CLS] , Los , beb , ##x , ##dores , [MASK] , [SEP]",nonmorphemic,8.29540535268315
21,bebedore,bebxdores,plur,3,default,0.21679402887821198,plural,son,s,Los bebxdores [MASK],"[CLS] , Los , beb , ##x , ##dores , [MASK] , [SEP]",nonmorphemic,1.528807551870604
22,bebedore,bebedore##s,plur,3,artificial,0.004527638200670481,singular,es,s,El bebedore##s [MASK],"[CLS] , El , bebe , ##dore , ##s , [MASK] , [SEP]",nonmorphemic,5.397554843952425
23,bebedore,bebedore##s,plur,3,artificial,0.0017228001961484551,plural,son,s,El bebedore##s [MASK],"[CLS] , El , bebe , ##dore , ##s , [MASK] , [SEP]",nonmorphemic,6.36380429092987
24,rumano,rumano,sing,2,default,0.016520487144589424,singular,es,s,El rumano [MASK],"[CLS] , El , rum , ##ano , [MASK] , [SEP]",nonmorphemic,4.1031540231528
