,Unnamed: 0,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal,surprisal_shift,log_odds
1,1,reserva,reserva,sing,1,default,0.0004738371062558,plural,plural,son,s,[MASK] reserva [MASK],"[CLS] , [MASK] , reserva , [MASK] , [SEP]",single-token,7.654646953021189,2.996563392199854,-2.9965633921998793
3,3,reserva,reservas,plur,1,default,0.0022066824603825,plural,plural,son,s,[MASK] reservas [MASK],"[CLS] , [MASK] , reservas , [MASK] , [SEP]",single-token,6.11626504045387,-0.2049408159407502,0.20494081594071517
5,5,reserva,reserva##s,plur,2,artificial,0.0060158600099384,plural,plural,son,s,[MASK] reserva##s [MASK],"[CLS] , [MASK] , reserva , ##s , [MASK] , [SEP]",single-token,5.113355962229928,-1.3573746847261603,1.3573746847262054
7,7,dólar,dólar,sing,1,default,0.0015451152576133,plural,plural,son,es,[MASK] dólar [MASK],"[CLS] , [MASK] , dólar , [MASK] , [SEP]",single-token,6.472656771017903,1.549159116749931,-1.549159116749964
9,9,dólar,dólares,plur,1,default,0.0013925216626375,plural,plural,son,es,[MASK] dólares [MASK],"[CLS] , [MASK] , dólares , [MASK] , [SEP]",single-token,6.576639029632068,-0.16392849028984013,0.16392849028978143
11,11,dólar,dólar##es,plur,2,artificial,0.0143211698159575,plural,plural,son,es,[MASK] dólar##es [MASK],"[CLS] , [MASK] , dólar , ##es , [MASK] , [SEP]",single-token,4.246016429727683,-1.4082532051982692,1.4082532051982677
13,13,activo,activo,sing,1,default,0.0001704460883047,plural,plural,son,s,[MASK] activo [MASK],"[CLS] , [MASK] , activo , [MASK] , [SEP]",single-token,8.677091508867852,1.9417285335297043,-1.9417285335298744
15,15,activo,activos,plur,1,default,0.0008831684826873,plural,plural,son,s,[MASK] activos [MASK],"[CLS] , [MASK] , activos , [MASK] , [SEP]",single-token,7.031994568441265,-0.488654097231616,0.4886540972316354
17,17,activo,activo##s,plur,2,artificial,0.0008175536640919,plural,plural,son,s,[MASK] activo##s [MASK],"[CLS] , [MASK] , activo , ##s , [MASK] , [SEP]",single-token,7.109194013198144,-0.4437579693039453,0.44375796930385686
19,19,permiso,permiso,sing,1,default,0.0001366129436064,plural,plural,son,s,[MASK] permiso [MASK],"[CLS] , [MASK] , permiso , [MASK] , [SEP]",single-token,8.898358859778897,3.2358856257478728,-3.2358856257482267
21,21,permiso,permisos,plur,1,default,0.0017798081971704,plural,plural,son,s,[MASK] permisos [MASK],"[CLS] , [MASK] , permisos , [MASK] , [SEP]",single-token,6.331249674882663,-1.2090048804879245,1.2090048804878957
23,23,permiso,permiso##s,plur,2,artificial,0.0013266806490719,plural,plural,son,s,[MASK] permiso##s [MASK],"[CLS] , [MASK] , permiso , ##s , [MASK] , [SEP]",single-token,6.625075208907984,-0.8157968578836021,0.8157968578836797
25,25,cálculo,cálculo,sing,1,default,0.0005772551521658,plural,plural,son,s,[MASK] cálculo [MASK],"[CLS] , [MASK] , cálculo , [MASK] , [SEP]",single-token,7.457226184406331,1.8692522337760167,-1.869252233776149
27,27,cálculo,cálculos,plur,1,default,0.0030872183851897,plural,plural,son,s,[MASK] cálculos [MASK],"[CLS] , [MASK] , cálculos , [MASK] , [SEP]",single-token,5.780484792462611,-1.023117564778345,1.023117564778377
29,29,cálculo,cálculo##s,plur,2,artificial,0.0008045634021982,plural,plural,son,s,[MASK] cálculo##s [MASK],"[CLS] , [MASK] , cálculo , ##s , [MASK] , [SEP]",single-token,7.125210785192445,0.19708161806275104,-0.19708161806276478
31,31,empleo,empleo,sing,1,default,0.0004159428935963,plural,plural,son,s,[MASK] empleo [MASK],"[CLS] , [MASK] , empleo , [MASK] , [SEP]",single-token,7.784962582134822,1.9257956199491728,-1.9257956199493211
33,33,empleo,empleos,plur,1,default,0.0140720568597316,plural,plural,son,s,[MASK] empleos [MASK],"[CLS] , [MASK] , empleos , [MASK] , [SEP]",single-token,4.263564230926016,-0.8748969525048844,0.8748969525048894
35,35,empleo,empleo##s,plur,2,artificial,0.0027813271153718,plural,plural,son,s,[MASK] empleo##s [MASK],"[CLS] , [MASK] , empleo , ##s , [MASK] , [SEP]",single-token,5.884827085558844,0.6188911623153777,-0.6188911623153768
37,37,sector,sector,sing,1,default,0.0001519113575341,plural,plural,son,es,[MASK] sector [MASK],"[CLS] , [MASK] , sector , [MASK] , [SEP]",single-token,8.792213381347809,1.898813285964267,-1.8988132859643507
39,39,sector,sectores,plur,1,default,0.0005463269189931,plural,plural,son,es,[MASK] sectores [MASK],"[CLS] , [MASK] , sectores , [MASK] , [SEP]",single-token,7.512293008665569,-0.19780532378307836,0.19780532378310528
41,41,sector,sector##es,plur,2,artificial,0.000934298383072,plural,plural,son,es,[MASK] sector##es [MASK],"[CLS] , [MASK] , sector , ##es , [MASK] , [SEP]",single-token,6.97571470279726,0.23624279960300232,-0.23624279960298633
43,43,empresario,empresario,sing,1,default,0.0002292131539434,plural,plural,son,s,[MASK] empresario [MASK],"[CLS] , [MASK] , empresario , [MASK] , [SEP]",single-token,8.380858184092377,2.734426924317674,-2.73442692431774
45,45,empresario,empresarios,plur,1,default,0.0030261764768511,plural,plural,son,s,[MASK] empresarios [MASK],"[CLS] , [MASK] , empresarios , [MASK] , [SEP]",single-token,5.800455345141014,-2.1741809209569043,2.1741809209570016
