,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,no,no,sing,1,default,0.05971027910709381,singular,singular,es,s,[MASK] no [MASK],"[CLS] , [MASK] , no , [MASK] , [SEP]",single-token,2.8182510940564383
1,no,no,sing,1,default,0.002777035813778639,plural,plural,son,s,[MASK] no [MASK],"[CLS] , [MASK] , no , [MASK] , [SEP]",single-token,5.886371174169285
2,no,nos,plur,1,default,0.005697328131645918,singular,singular,es,s,[MASK] nos [MASK],"[CLS] , [MASK] , nos , [MASK] , [SEP]",single-token,5.167757962872761
3,no,nos,plur,1,default,0.0021494152024388313,plural,plural,son,s,[MASK] nos [MASK],"[CLS] , [MASK] , nos , [MASK] , [SEP]",single-token,6.142559472706626
4,no,no##s,plur,2,artificial,0.00942379143089056,singular,singular,es,s,[MASK] no##s [MASK],"[CLS] , [MASK] , no , ##s , [MASK] , [SEP]",single-token,4.664517784014488
5,no,no##s,plur,2,artificial,0.0038556503131985664,plural,plural,son,s,[MASK] no##s [MASK],"[CLS] , [MASK] , no , ##s , [MASK] , [SEP]",single-token,5.558215592757259
6,gra,gra,sing,1,default,0.00015165493823587894,singular,singular,es,s,[MASK] gra [MASK],"[CLS] , [MASK] , gra , [MASK] , [SEP]",single-token,8.793902760984462
7,gra,gra,sing,1,default,1.0225179721601307e-05,plural,plural,son,s,[MASK] gra [MASK],"[CLS] , [MASK] , gra , [MASK] , [SEP]",single-token,11.490657279505152
8,gra,gras,plur,1,default,0.0020521387923508883,singular,singular,es,s,[MASK] gras [MASK],"[CLS] , [MASK] , gras , [MASK] , [SEP]",single-token,6.188872716363035
9,gra,gras,plur,1,default,0.00010751002264441922,plural,plural,son,s,[MASK] gras [MASK],"[CLS] , [MASK] , gras , [MASK] , [SEP]",single-token,9.137926480840992
10,gra,gra##s,plur,2,artificial,7.768724753987044e-05,singular,singular,es,s,[MASK] gra##s [MASK],"[CLS] , [MASK] , gra , ##s , [MASK] , [SEP]",single-token,9.462819438386536
11,gra,gra##s,plur,2,artificial,6.429780569305876e-06,plural,plural,son,s,[MASK] gra##s [MASK],"[CLS] , [MASK] , gra , ##s , [MASK] , [SEP]",single-token,11.95457014637701
12,crea,crea,sing,1,default,0.0044109635055065155,singular,singular,es,s,[MASK] crea [MASK],"[CLS] , [MASK] , crea , [MASK] , [SEP]",single-token,5.423662131412827
13,crea,crea,sing,1,default,0.0007557522621937096,plural,plural,son,s,[MASK] crea [MASK],"[CLS] , [MASK] , crea , [MASK] , [SEP]",single-token,7.187796930999614
14,crea,creas,plur,1,default,0.001997032668441534,singular,singular,es,s,[MASK] creas [MASK],"[CLS] , [MASK] , creas , [MASK] , [SEP]",single-token,6.216092865923357
15,crea,creas,plur,1,default,0.000833410129416734,plural,plural,son,s,[MASK] creas [MASK],"[CLS] , [MASK] , creas , [MASK] , [SEP]",single-token,7.08998468472205
16,crea,crea##s,plur,2,artificial,0.002475711051374674,singular,singular,es,s,[MASK] crea##s [MASK],"[CLS] , [MASK] , crea , ##s , [MASK] , [SEP]",single-token,6.001227630737637
17,crea,crea##s,plur,2,artificial,0.0035041545052081347,plural,plural,son,s,[MASK] crea##s [MASK],"[CLS] , [MASK] , crea , ##s , [MASK] , [SEP]",single-token,5.653806012928008
18,pla,pla,sing,1,default,0.00284436228685081,singular,singular,es,s,[MASK] pla [MASK],"[CLS] , [MASK] , pla , [MASK] , [SEP]",single-token,5.862416388778989
19,pla,pla,sing,1,default,0.00036527137854136527,plural,plural,son,s,[MASK] pla [MASK],"[CLS] , [MASK] , pla , [MASK] , [SEP]",single-token,7.9148699777900475
20,pla,plas,plur,1,default,0.0004966618726029992,singular,singular,es,s,[MASK] plas [MASK],"[CLS] , [MASK] , plas , [MASK] , [SEP]",single-token,7.607601100216647
21,pla,plas,plur,1,default,2.0836927433265373e-05,plural,plural,son,s,[MASK] plas [MASK],"[CLS] , [MASK] , plas , [MASK] , [SEP]",single-token,10.778783787972602
22,pla,pla##s,plur,2,artificial,0.004601558204740286,singular,singular,es,s,[MASK] pla##s [MASK],"[CLS] , [MASK] , pla , ##s , [MASK] , [SEP]",single-token,5.381360292685652
23,pla,pla##s,plur,2,artificial,0.0007885253871791065,plural,plural,son,s,[MASK] pla##s [MASK],"[CLS] , [MASK] , pla , ##s , [MASK] , [SEP]",single-token,7.145345955276562
24,va,va,sing,1,default,0.0019589692819863558,singular,singular,es,s,[MASK] va [MASK],"[CLS] , [MASK] , va , [MASK] , [SEP]",single-token,6.235336820598847
25,va,va,sing,1,default,7.394556450890377e-05,plural,plural,son,s,[MASK] va [MASK],"[CLS] , [MASK] , va , [MASK] , [SEP]",single-token,9.512181350201935
26,va,vas,plur,1,default,0.00053247349569574,singular,singular,es,s,[MASK] vas [MASK],"[CLS] , [MASK] , vas , [MASK] , [SEP]",single-token,7.537977434960761
27,va,vas,plur,1,default,0.00013147699064575136,plural,plural,son,s,[MASK] vas [MASK],"[CLS] , [MASK] , vas , [MASK] , [SEP]",single-token,8.936678697734491
28,va,va##s,plur,2,artificial,0.0023065803106874228,singular,singular,es,s,[MASK] va##s [MASK],"[CLS] , [MASK] , va , ##s , [MASK] , [SEP]",single-token,6.071989236284727
29,va,va##s,plur,2,artificial,0.0033077187836170197,plural,plural,son,s,[MASK] va##s [MASK],"[CLS] , [MASK] , va , ##s , [MASK] , [SEP]",single-token,5.711496516432814
30,ga,ga,sing,1,default,0.0012373762438073754,singular,singular,es,s,[MASK] ga [MASK],"[CLS] , [MASK] , ga , [MASK] , [SEP]",single-token,6.6947620735264035
31,ga,ga,sing,1,default,0.00035561950062401593,plural,plural,son,s,[MASK] ga [MASK],"[CLS] , [MASK] , ga , [MASK] , [SEP]",single-token,7.941649217177895
32,ga,gas,plur,1,default,0.001977384788915515,singular,singular,es,s,[MASK] gas [MASK],"[CLS] , [MASK] , gas , [MASK] , [SEP]",single-token,6.225980120997949
33,ga,gas,plur,1,default,0.00026835783501155674,plural,plural,son,s,[MASK] gas [MASK],"[CLS] , [MASK] , gas , [MASK] , [SEP]",single-token,8.223189262780306
34,ga,ga##s,plur,2,artificial,0.006256168708205223,singular,singular,es,s,[MASK] ga##s [MASK],"[CLS] , [MASK] , ga , ##s , [MASK] , [SEP]",single-token,5.074187308678633
