,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,no,no,sing,1,default,0.02374747022986412,singular,singular,es,s,El no [MASK],"[CLS] , El , no , [MASK] , [SEP]",single-token,3.740279270812087
1,no,no,sing,1,default,0.0012822390999644995,plural,plural,son,s,El no [MASK],"[CLS] , El , no , [MASK] , [SEP]",single-token,6.659147432441108
2,no,nos,plur,1,default,0.0005181579617783427,singular,singular,es,s,Los nos [MASK],"[CLS] , Los , nos , [MASK] , [SEP]",single-token,7.565230416673189
3,no,nos,plur,1,default,0.015549765899777412,plural,plural,son,s,Los nos [MASK],"[CLS] , Los , nos , [MASK] , [SEP]",single-token,4.163709695146911
4,no,no##s,plur,2,artificial,0.00234727724455297,singular,singular,es,s,Los no##s [MASK],"[CLS] , Los , no , ##s , [MASK] , [SEP]",single-token,6.054499241883511
5,no,no##s,plur,2,artificial,0.08061721175909042,plural,plural,son,s,Los no##s [MASK],"[CLS] , Los , no , ##s , [MASK] , [SEP]",single-token,2.5180431068689835
6,gra,gra,sing,1,default,0.005475370679050684,singular,singular,es,s,La gra [MASK],"[CLS] , La , gra , [MASK] , [SEP]",single-token,5.207495301635182
7,gra,gra,sing,1,default,7.464399095624685e-05,plural,plural,son,s,La gra [MASK],"[CLS] , La , gra , [MASK] , [SEP]",single-token,9.50278053345153
8,gra,gras,plur,1,default,0.007695314008742571,singular,singular,es,s,Las gras [MASK],"[CLS] , Las , gras , [MASK] , [SEP]",single-token,4.867143705669736
9,gra,gras,plur,1,default,0.045463427901268005,plural,plural,son,s,Las gras [MASK],"[CLS] , Las , gras , [MASK] , [SEP]",single-token,3.0908470586212147
10,gra,gra##s,plur,2,artificial,0.000407516403356567,singular,singular,es,s,Las gra##s [MASK],"[CLS] , Las , gra , ##s , [MASK] , [SEP]",single-token,7.805429372457765
11,gra,gra##s,plur,2,artificial,0.0033172599505633116,plural,plural,son,s,Las gra##s [MASK],"[CLS] , Las , gra , ##s , [MASK] , [SEP]",single-token,5.7086161529099595
12,crea,crea,sing,1,default,0.0019476779270917177,singular,singular,es,s,La crea [MASK],"[CLS] , La , crea , [MASK] , [SEP]",single-token,6.241117422599682
