,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,patrono,patrono,sing,2,default,1.602862357685808e-05,singular,grande,s,El patrono [MASK],"[CLS] , El , patr , ##ono , [MASK] , [SEP]",nonmorphemic,11.041134460478116
1,patrono,patrono,sing,2,default,6.492314241768327e-08,plural,grandes,s,El patrono [MASK],"[CLS] , El , patr , ##ono , [MASK] , [SEP]",nonmorphemic,16.550061691009322
2,patrono,patyonos,plur,3,default,6.412213338080619e-07,singular,grande,s,Los patyonos [MASK],"[CLS] , Los , pa , ##ty , ##onos , [MASK] , [SEP]",nonmorphemic,14.259891145073826
3,patrono,patyonos,plur,3,default,2.3002176021691412e-05,plural,grandes,s,Los patyonos [MASK],"[CLS] , Los , pa , ##ty , ##onos , [MASK] , [SEP]",nonmorphemic,10.679921736871577
4,patrono,patrono##s,plur,3,artificial,3.375386768311728e-06,singular,grande,s,El patrono##s [MASK],"[CLS] , El , patr , ##ono , ##s , [MASK] , [SEP]",nonmorphemic,12.599000642187342
5,patrono,patrono##s,plur,3,artificial,3.990868935943581e-05,plural,grandes,s,El patrono##s [MASK],"[CLS] , El , patr , ##ono , ##s , [MASK] , [SEP]",nonmorphemic,10.128916479346762
6,premisa,premisa,sing,2,default,7.433249720634194e-06,singular,grande,s,La premisa [MASK],"[CLS] , La , premis , ##a , [MASK] , [SEP]",nonmorphemic,11.80954741657475
7,premisa,premisa,sing,2,default,1.608425570509553e-08,plural,grandes,s,La premisa [MASK],"[CLS] , La , premis , ##a , [MASK] , [SEP]",nonmorphemic,17.94542494993433
8,premisa,pkemisas,plur,4,default,2.15893791732924e-07,singular,grande,s,Las pkemisas [MASK],"[CLS] , Las , p , ##k , ##emi , ##sas , [MASK] , [SEP]",nonmorphemic,15.348479255128929
9,premisa,pkemisas,plur,4,default,1.7164002201752737e-05,plural,grandes,s,Las pkemisas [MASK],"[CLS] , Las , p , ##k , ##emi , ##sas , [MASK] , [SEP]",nonmorphemic,10.972696262557637
10,premisa,premisa##s,plur,3,artificial,8.535789675079286e-06,singular,grande,s,La premisa##s [MASK],"[CLS] , La , premis , ##a , ##s , [MASK] , [SEP]",nonmorphemic,11.67124268402011
11,premisa,premisa##s,plur,3,artificial,9.247098205378279e-06,plural,grandes,s,La premisa##s [MASK],"[CLS] , La , premis , ##a , ##s , [MASK] , [SEP]",nonmorphemic,11.591200763183112
12,kilo,kilo,sing,2,default,3.448041752562858e-05,singular,grande,s,El kilo [MASK],"[CLS] , El , k , ##ilo , [MASK] , [SEP]",nonmorphemic,10.275119003030133
13,kilo,kilo,sing,2,default,7.378550321845978e-07,plural,grandes,s,El kilo [MASK],"[CLS] , El , k , ##ilo , [MASK] , [SEP]",nonmorphemic,14.1195184649957
14,kilo,kdlos,plur,3,default,1.479160346207209e-06,singular,grande,s,Los kdlos [MASK],"[CLS] , Los , k , ##d , ##los , [MASK] , [SEP]",nonmorphemic,13.424035964826654
15,kilo,kdlos,plur,3,default,8.099775004666299e-05,plural,grandes,s,Los kdlos [MASK],"[CLS] , Los , k , ##d , ##los , [MASK] , [SEP]",nonmorphemic,9.42108918087932
16,kilo,kilo##s,plur,3,artificial,2.2018970412318595e-05,singular,grande,s,El kilo##s [MASK],"[CLS] , El , k , ##ilo , ##s , [MASK] , [SEP]",nonmorphemic,10.72360618469664
17,kilo,kilo##s,plur,3,artificial,4.2306124669266865e-05,plural,grandes,s,El kilo##s [MASK],"[CLS] , El , k , ##ilo , ##s , [MASK] , [SEP]",nonmorphemic,10.070578691157658
18,bebedore,bebedore,sing,2,default,6.643311644438654e-05,singular,grande,s,El bebedore [MASK],"[CLS] , El , bebe , ##dore , [MASK] , [SEP]",nonmorphemic,9.619314884179829
19,bebedore,bebedore,sing,2,default,3.5925714314544166e-07,plural,grandes,s,El bebedore [MASK],"[CLS] , El , bebe , ##dore , [MASK] , [SEP]",nonmorphemic,14.839227428690332
20,bebedore,bebxdores,plur,3,default,1.9444873089469183e-07,singular,grande,s,Los bebxdores [MASK],"[CLS] , Los , beb , ##x , ##dores , [MASK] , [SEP]",nonmorphemic,15.453097303006777
21,bebedore,bebxdores,plur,3,default,1.0348084288125392e-05,plural,grandes,s,Los bebxdores [MASK],"[CLS] , Los , beb , ##x , ##dores , [MASK] , [SEP]",nonmorphemic,11.478709148319451
22,bebedore,bebedore##s,plur,3,artificial,2.2774820536142215e-05,singular,grande,s,El bebedore##s [MASK],"[CLS] , El , bebe , ##dore , ##s , [MASK] , [SEP]",nonmorphemic,10.68985499471133
23,bebedore,bebedore##s,plur,3,artificial,1.7500969988759607e-05,plural,grandes,s,El bebedore##s [MASK],"[CLS] , El , bebe , ##dore , ##s , [MASK] , [SEP]",nonmorphemic,10.953254250641756
24,rumano,rumano,sing,2,default,3.564900907804258e-06,singular,grande,s,El rumano [MASK],"[CLS] , El , rum , ##ano , [MASK] , [SEP]",nonmorphemic,12.54437430033166
25,rumano,rumano,sing,2,default,3.2566973118264286e-08,plural,grandes,s,El rumano [MASK],"[CLS] , El , rum , ##ano , [MASK] , [SEP]",nonmorphemic,17.23996715663265
26,rumano,rumhnos,plur,3,default,3.260092853452079e-07,singular,grande,s,Los rumhnos [MASK],"[CLS] , Los , rum , ##hn , ##os , [MASK] , [SEP]",nonmorphemic,14.936339973331314
27,rumano,rumhnos,plur,3,default,2.5324457965325564e-05,plural,grandes,s,Los rumhnos [MASK],"[CLS] , Los , rum , ##hn , ##os , [MASK] , [SEP]",nonmorphemic,10.583739911204656
28,rumano,rumano##s,plur,3,artificial,3.674477056847536e-06,singular,grande,s,El rumano##s [MASK],"[CLS] , El , rum , ##ano , ##s , [MASK] , [SEP]",nonmorphemic,12.51409973288117
29,rumano,rumano##s,plur,3,artificial,1.0749405191745609e-05,plural,grandes,s,El rumano##s [MASK],"[CLS] , El , rum , ##ano , ##s , [MASK] , [SEP]",nonmorphemic,11.440660135921828
