,lemma,word_form,word_number,n_tokens,tokenization_type,adj_probs,article_number,adj_number,adj,affix,sentence,model_token_inputs,source,surprisal
0,remedio,remedio,sing,1,default,3.418760024942458e-05,singular,singular,grande,s,El remedio [MASK],"[CLS] , El , remedio , [MASK] , [SEP]",morphemic,10.283647545444886
1,remedio,remedio,sing,1,default,4.8095298410544274e-08,plural,plural,grandes,s,El remedio [MASK],"[CLS] , El , remedio , [MASK] , [SEP]",morphemic,16.85008141075469
2,remedio,remedios,plur,2,default,1.6985664430535508e-08,singular,singular,grande,s,Los remedios [MASK],"[CLS] , Los , remedio , ##s , [MASK] , [SEP]",morphemic,17.89089611743336
3,remedio,remedios,plur,2,default,6.2087619880912825e-06,plural,plural,grandes,s,Los remedios [MASK],"[CLS] , Los , remedio , ##s , [MASK] , [SEP]",morphemic,11.989549039688578
4,remedio,remedio##s,plur,2,artificial,1.6985664430535508e-08,singular,singular,grande,s,Los remedio##s [MASK],"[CLS] , Los , remedio , ##s , [MASK] , [SEP]",morphemic,17.89089611743336
5,remedio,remedio##s,plur,2,artificial,6.2087619880912825e-06,plural,plural,grandes,s,Los remedio##s [MASK],"[CLS] , Los , remedio , ##s , [MASK] , [SEP]",morphemic,11.989549039688578
6,cierre,cierre,sing,1,default,2.6048441213788465e-05,singular,singular,grande,s,El cierre [MASK],"[CLS] , El , cierre , [MASK] , [SEP]",morphemic,10.555552629797562
7,cierre,cierre,sing,1,default,1.4756552957351232e-07,plural,plural,grandes,s,El cierre [MASK],"[CLS] , El , cierre , [MASK] , [SEP]",morphemic,15.728993491529478
8,cierre,cierres,plur,2,default,1.315825848280383e-08,singular,singular,grande,s,Los cierres [MASK],"[CLS] , Los , cierre , ##s , [MASK] , [SEP]",morphemic,18.14621625393962
9,cierre,cierres,plur,2,default,3.6310161704022903e-06,plural,plural,grandes,s,Los cierres [MASK],"[CLS] , Los , cierre , ##s , [MASK] , [SEP]",morphemic,12.525998012112554
