,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,reserva,reserva,sing,1,default,0.014036322943866253,singular,es,s, [MASK] reserva [MASK],"[CLS] , [MASK] , reserva , [MASK] , [SEP]",single-token,4.266106813270921
1,reserva,reserva,sing,1,default,0.0003109760000370443,plural,son,s, [MASK] reserva [MASK],"[CLS] , [MASK] , reserva , [MASK] , [SEP]",single-token,8.075794819061713
2,reserva,resedvas,plur,3,default,0.0009360307594761252,singular,es,s, [MASK] resedvas [MASK],"[CLS] , [MASK] , rese , ##d , ##vas , [MASK] , [SEP]",single-token,6.97386221933848
3,reserva,resedvas,plur,3,default,0.0038691775407642126,plural,son,s, [MASK] resedvas [MASK],"[CLS] , [MASK] , rese , ##d , ##vas , [MASK] , [SEP]",single-token,5.554713316292751
4,reserva,reserva##s,plur,2,artificial,0.0025355196557939053,singular,es,s, [MASK] reserva##s [MASK],"[CLS] , La , reserva , ##s , [MASK] , [SEP]",single-token,5.977356670523435
5,reserva,reserva##s,plur,2,artificial,0.023157106712460518,plural,son,s, [MASK] reserva##s [MASK],"[CLS] , La , reserva , ##s , [MASK] , [SEP]",single-token,3.765453560140816
6,dólare,dólare,sing,2,default,0.007032244466245174,singular,es,s, [MASK] dólare [MASK],"[CLS] , [MASK] , dólar , ##e , [MASK] , [SEP]",single-token,4.957249354379145
7,dólare,dólare,sing,2,default,0.0002971215872094035,plural,son,s, [MASK] dólare [MASK],"[CLS] , [MASK] , dólar , ##e , [MASK] , [SEP]",single-token,8.121369118393117
8,dólare,dólfres,plur,4,default,0.0005707127274945378,singular,es,s, [MASK] dólfres [MASK],"[CLS] , [MASK] , dó , ##l , ##fre , ##s , [MASK] , [SEP]",single-token,7.4686245791203705
9,dólare,dólfres,plur,4,default,0.007026374340057373,plural,son,s, [MASK] dólfres [MASK],"[CLS] , [MASK] , dó , ##l , ##fre , ##s , [MASK] , [SEP]",single-token,4.958084447301119
